	utterance	topics
3958	That sounds unique! I'm not a fan of spicy food though.	(food,yes)|(spicy food,no)
9755	Not really, just planning to catch up on some sleep and maybe binge-watch some TV shows.	(weekend plan,no)
9290	Mostly non-fiction books. Biography, in particular, pique my interest.	(book,yes)|(genre,yes)|(biography,yes)
10772	It's going okay. I don't really like my job, but it pays the bills.	(career,yes)
10677	Not great, having a busy day at work.	(work,no)
3832	Honestly, I don't really have any hobbies. Mostly just work and then vegging out in front of the TV or computer.	(hobby,no)
6395	No, I've never been. I don't really see the point, to be honest.	(music,yes)|(classical concerts,no)
11579	Hmm, how about books? Do you like reading?	(book,yes)|(reading,yes)
12634	Yeah, I'm really into cooking.	(hobbies,yes)|(cooking,yes)
11073	"""Moonlight"" was fantastic. I really loved the cinematography and the story."	(movie,yes)|(specific movie,yes)|(Moonlight,yes)
2511	No, I haven't been to Switzerland yet. But I've heard that it's one of the most beautiful countries in the world.	(travel,yes)|(Switzerland,yes)
8256	Mostly fiction books. But lately, I have started reading some non-fiction ones too.	(hobbies,yes)|(books,yes)|(non-fiction,yes)
2142	Yeah, I have a cat at home.	(pet,yes)|(cat,yes)
7052	Yeah, you too.	(conversation,yes)
12902	Yeah, I've been playing a lot of video games lately.	(hobbies,yes)|(video games,yes)
6177	I like all kinds of music, except for country.	(music,yes)|(genre,unknown)|(country,no)
10978	It was terrible. My car broke down, and I had to miss my friend's party.	(weekend,no)
11695	Probably Jim or Dwight.	(TV show,yes)|(TV character,yes)|(Jim,yes)
12786	No, I haven't been there yet. What dishes would you recommend?	(food,yes)|(dishes,yes)
9953	Not really, I feel like I don't really have time for much else.	(hobbies,no)
10997	I work in IT. It's really boring, so let's talk about something else instead.	(work,no)
10457	I just find them kind of predictable.	(book,no)|(mystery novel,no)
5353	I think the filmmakers were called Chasing Ice.	(movie,yes)|(movie details,yes)|(Chasing Ice,yes)
4301	No, I'm not interested in superhero movies.	(movie,no)|(superhero,no)
8599	I mostly spend time reading books.	(reading,yes)
9318	Not much. Just watch movies and relax.	(weekend activity,yes)
12583	It's a fruit that's really popular in Southeast Asia, but it's got a really strong odor that turns a lot of people off.	(food,yes)|(exotic food,yes)|(durian,no)
7155	Pretty good, thanks.	(well-being,yes)
7308	Not really. Just trying to take things day by day.	(future plan,no)
3558	Honestly, it wasn't great. Our waitress was really rude.	(food,yes)|(service quality,no)|(Waitress,no)
2760	No, sorry. I don't really read much fantasy.	(book,no)|(fantasy,no)
469	It was okay, I mostly just lounged around the house.	(weekend,yes)|(lounging,yes)
372	Yes, I love it. I've been to a few places around the world.	(travel,yes)
1162	Yeah, I guess so. It was nice chatting with you, but I have to run now.	(socializing,yes)|(ending conversation,yes)
2077	Watching TV series, mostly. Just finished Stranger Things.	(TV series,yes)|(Stranger Things,yes)
130	I enjoy Italian cuisine, especially the pasta dishes.	(food,yes)|(cuisine,yes)|(Italian,yes)
6929	I don't really have a favorite artist.	(music,no)|(favorite artist,no)
11894	Actually, I just tried a great sushi place downtown.	(food,yes)|(restaurant,yes)|(sushi place,yes)
2606	I really like Arcade Fire.	(Music,yes)|(indie rock,unknown)
10766	I love horror movies. What about you?	(movie genre,yes)
5213	No, I'm not really into video games.	(video game,no)
213	Those games are so boring, I prefer playing video games.	(activity,yes)|(video games,no)
8318	It was great, I went hiking with my friends.	(weekend,yes)|(outdoor activities,yes)
12082	Not really, I've been so busy with work.	(books,no)
2631	No, I'm not interested in sports.	(sports,no)
4334	Really? I'm not a big sushi fan, so I'm not interested.	(food,unknown)
6561	Oh man, burgers always make me feel so heavy.	(food,yes)|(fast food,unknown)
2305	Nope, no pets here.	(pets,no)
3553	I like comedy shows.	(TV show,yes)|(TV show genre,yes)|(comedy,yes)
9506	I mostly listen to hip-hop and rap. What about you?	(music,yes)|(music genre,yes)
5480	Well, it all depends on what you want to grow. Are you interested in herbs, vegetables or flowers?	(hobby,yes)|(gardening,yes)
6797	Yeah, but I didn't get past the first season. It's too much drama for me.	(TV Shows,yes)
10289	I listen to all kinds of music, but I mostly prefer R&B and pop.	(music,yes)|(genre,yes)|(pop,yes)
6325	No, I'm not a huge sports fan.	(sports,no)
10083	Yes, I have been to Japan.	(travel,yes)|(Japan,yes)
9222	Yeah, see you.	(goodbye,yes)
6478	To be honest, I'm not really a big music person.	(music,no)|(music preference,no)
11147	Yeah, that sounds good.	(socializing,yes)
2595	Alright, sounds good. Take care!	(goodbye,yes)
6275	Actually, I don't watch TV shows anymore.	(television,no)
11941	Not really, just a few friends and some celebrities.	(social media,no)
12015	That's cool, I'll have to look into it more.	(car,yes)
1305	Mostly history books or biographies of famous people.	(book,no)
7827	Yes, I love movies!	(movie,yes)
12625	(Thinking for a second) Well, I like playing video games.	(video games,yes)
8868	It's like an intense workout program that involves a lot of weightlifting and high-intensity routines.	(fitness,no)
11215	I'm a vegetarian.	(food,yes)
13222	"Actually, I watched one the other day. It was called ""The Shawshank Redemption"". It's a great movie."	(movie,yes)|(The Shawshank Redemption,yes)
2687	I'm in finance.	(work,yes)|(finance,yes)
1940	It was alright.	(weekend,no)
6420	Not really, I prefer to stay home.	(travel,no)
945	To be honest, I don't really enjoy reading.	(books,no)
3095	It's been alright.	(daily life,yes)
321	Nope, not really. I'm not much of a chef.	(cooking,no)
7660	Not really, documentaries are boring.	(TV show,yes)|(show genre,unknown|documentary,no)
12892	Sounds boring to me.	(book,no)|(detective novel,no)
7614	Oh wow, I'm so jealous. I've always wanted to go there.	(travel,unknown)|(Japan,yes)
12230	Sorry, I'm not much of an outdoor person.	(outdoor activities,no)
9210	Honestly, I don't really listen to music.	(music,no)
8811	Yeah, I like to paint and draw.	(hobby,yes)|(painting and drawing,yes)
1027	"I watched ""Breaking Bad"" and ""Stranger Things""."	(TV shows,yes)|(TV shows name,yes)|(Breaking Bad,yes)
4471	I work in accounting. It's pretty boring, to be honest.	(work,no)
3422	Oh, that's a classic! Definitely one of my favorites.	(movie,yes)|(The Shawshank Redemption,yes)
6234	Yes, I have.	(technology,yes)|(5G network,yes)
8882	Honestly, not really. I prefer staying at home.	(travel,no)
5375	Yeah, that's cool. To be honest, I think I'm going to head out now. Nice talking with you though!	(conversation,yes)
12247	Yeah, I have.	(blockchain technology,yes)
8525	Not really. I haven't gotten a chance to travel much.	(travel,no)
7591	Not really, but I guess it pays the bills.	(work,yes)|(job satisfaction,no)
7257	Fantasy? Not really my cup of tea.	(TV shows,no)|(fantasy,no)
7239	Yeah, likewise. Take care.	(well-being,yes)
4109	No, I haven't. Is it any good?	(food,yes)|(coffee,yes)
1993	Not really. I'm not much of a sports person.	(sports,no)
7615	Yeah, that sounds good. Let's plan on it.	(social,yes)
1656	Yes, I went last winter.	(sports,unknown)|(skiing,yes)
9259	Oh, I love trying out new food places. Which restaurant are you talking about?	(food,yes)
8602	Actually, I went to a new Italian place last week that wasn't bad.	(food,yes)|(Italian place,yes)
1769	Oh, I love tacos.	(food,yes)|(Mexican food,yes)
1349	I'm not really a fan, sorry.	(restaurant,yes)|(food preference,no)|(Indian food,no)
7596	Not great, actually.	(emotions,no)
5982	I really enjoy camping in the mountains. There's nothing like falling asleep under a starry sky amongst nature.	(outdoor activities,yes)|(camping,yes)
7576	Not really. I'll probably just relax at home.	(weekend plans,yes)
5352	Actually, yes. I saw a really great documentary on Netflix about climate change.	(movie,yes)|(documentary,yes)|(climate change,yes)
4598	Yeah, I did. It was hilarious!	(movie,yes)|(comedy movie,yes)
3161	Yeah, a long time ago, but it wasn't anything serious. Just for fun.	(hobby,yes)|(playing in a band,yes)
11390	Actually, I'm trying to cut back on eating out. Can we try cooking something at home instead?	(food,yes)|(cooking,yes)
1812	OK, see you later!	(farewell,yes)
7180	Sure, what movie are you thinking of seeing?	(movie,yes)
6975	Nope, not into sports either. Feel like we're running out of topics here...	(sports,no)
11406	To be honest, I never got into Harry Potter.	(movie,yes)|(Harry Potter,no)
5779	No, I haven't.	(music festival,no)
3484	No, I haven't.	(food,yes)|(Japanese food,yes)|(sushi,no)
8420	Not so great, I'm feeling sick.	(personal health,no)
319	It's alright, but it's not my dream job, you know?	(job,no)
774	I like Chinese food too. Have you ever been to China?	(travel,yes)|(China,unknown)
3189	There's this little place down the street from me that makes really good pizza.	(food,yes)|(restaurant,yes)|(pizza place down the street,yes)
12036	I mainly read non-fiction, like science and technology books.	(reading,yes)|(book genre,yes)|(non-fiction,yes)
8386	Sorry, not interested.	(sports,no)|(football,no)
12507	Ugh, please don't talk about gyms. They're so boring.	(fitness,no)|(gym,no)
6493	Well, it's important to simmer the sauce for a long time to get a deeper flavor.	(cooking,yes)|(sauce,yes)
10727	Ah, that's too bad. I've been cooking a lot lately, and it's been a great stress-reliever. How's your job going?	(work,no)
11910	The Lakers, definitely.	(sports,yes)|(basketball team,yes)|(Lakers,yes)
12121	No, I haven't. I don't really have any desire to travel outside of the US.	(travel,yes)|(international travel,no)
3744	Ah, got it. Well, I hate vegetables, personally.	(food,no)|(vegetables,no)
1798	Sorry, I don't want to discuss the ending and spoil it for you.	(movies,yes)|(Parasite ending,no)
9974	No, I haven't played any video games recently. I prefer reading books or going for a walk outside.	(hobby,yes)|(reading books,yes)|(walk outside,yes)
9496	Just feeling a bit overwhelmed with work lately.	(work,no)
1608	Not particularly, sorry. Actually, do you mind if we change the topic? TV shows aren't really holding my interest right now.	(TV shows,no)
4831	No, sorry, I'm really not.	(TV shows,no)
7337	Sounds yummy. I would definitely like to try it then.	(food,yes)|(restaurant,yes)|(spaghetti alla carbonara,yes)
11863	Oh, cool. I've never been much of a guitar guy myself, but I've heard good things about Mayer.	(music,yes)|(guitarist,yes)|(John Mayer,yes)
4711	No, I'm not really into sports.	(sports,no)
2151	Honestly, I don't really have a favorite. I prefer to listen to individual songs rather than whole albums or bands.	(music,no)|(rock band,no)
11487	Sorry, I don't really feel like discussing that topic today.	(news,no)|(pandemic,no)
3489	Actually, yes! I just finished a great sci-fi book.	(books,yes)|(sci-fi,yes)
7832	I guess so. Maybe I'll take up gardening or something.	(hobby,yes)|(hobby name,yes)|(gardening,unknown)
10826	Not much, just trying to figure out what to eat for breakfast.	(food,yes)|(breakfast,yes)
5594	Lately, I've been watching a lot of old sitcoms.	(TV shows,no)|(sitcoms,no)
13191	No, I haven't.	(food,unknown)|(new restaurant,unknown)
2274	No, I haven't. I'm broke at the moment, so I can't really afford to travel.	(travel,yes)|(money,no)
5051	Yeah, that's a great idea. Speaking of beaches, have you heard about the issues with beach erosion in Hawaii?	(travel,yes)|(beach,no)
1289	Umm, yeah. I am not a big fan of vegan food.	(food,no)|(vegan food,no)
9528	No, I haven't had the opportunity to travel lately.	(travel,no)
3965	I like reading books.	(hobby,yes)|(reading,yes)
9241	No, I didn't.	(art,yes)|(art museum exhibit,unknown)
13332	Ah, I get that. Have you tried any new hobbies or anything, then?	(hobbies,yes)
826	Not really, I usually just cook at home.	(food,yes)|(restaurants,no)
6427	Not much, just work and home. It's been pretty boring, to be honest.	(life,no)
5080	"Yeah, I recently got into ""Stranger Things"" on Netflix."	(TV shows,yes)|(Netflix originals,yes)|(Stranger Things,yes)
10122	Yeah, I love hiking.	(outdoor activities,yes)|(hiking,yes)
3225	No, I'm allergic to animal hair.	(pets,yes)|(animal allergy,yes)
9032	That sounds really cool! I'll have to check it out sometime.	(restaurant,yes)|(The Chef's Table,yes)
2107	That sounds nice! I haven't been on a hike in a long time.	(weekend plans,yes)|(hiking,yes)
12043	Yeah, you too.	(farewell,yes)
10995	Sure, I do love suspense and thrillers, but I prefer to read books in that genre.	(books,yes)|(suspense and thrillers,yes)
13160	I have a cat named Mittens.	(pets,yes)
2865	No, I haven't. What's so special about it?	(food,yes)|(caf\u00e9,yes)|(Main St.,yes)
3069	Oh, all kinds of stuff - cooking videos, travel vlogs, beauty tutorials...you name it!	(video content,yes)|(video type,yes)
3853	Yes, I went to Hawaii last year.	(travel,yes)|(Hawaii,yes)
11931	Not really, I'm more of a cat person.	(pets,yes)|(dogs,no)
11876	Usually just watch TV or play video games.	(entertainment,yes)|(video games,yes)
7225	Not really, I don't have much time for TV.	(TV shows,no)
9741	Yes, I went on a road trip across the country. That was pretty cool.	(summer activities,yes)|(road trip,yes)
4366	No, I don't really like animals.	(pets,no)
9995	I guess I like action movies, but I haven't really seen a good one in a while.	(movie,unknown)|(movie genre,yes)
13289	You too!	(goodbye,yes)
8408	I am not really a foodie, so I don't have a favorite cuisine.	(food,no)
268	No, I haven't.	(travel,yes)|(destination,yes)|(Paris,no)
12378	Not really, I don't like crowds. They make me feel anxious.	(music,no)
10378	I'm not really craving Italian food right now.	(food,yes)|(restaurant,no)|(Blue Moon,no)
6378	Yeah, that sounds nice. Hey, I gotta go now. Talk to you later!	(goodbye,yes)
12679	Nope, I don't like heights.	(activity,yes)|(bungee jumping,no)
13148	Not really, I find it too depressing.	(current events,no)
7035	It was fine, went to the beach.	(weekend,yes)|(beach,yes)
6473	No, I haven't.	(travel,yes)|(London,no)
2528	Not really, I find it kind of tedious.	(food,no)|(cooking,no)
13022	No, not yet. How was it?	(restaurant,yes)|(new restaurant,yes)
6150	No, not really. I don't know how to cook and I don't have much interest in trying.	(cooking,no)
7438	It's been alright, just busy with work.	(work,yes)
10547	Not really, I've been focusing on reading more books lately.	(books,yes)
7271	Actually, I'm not really interested in trying new taco places right now. Thanks for telling me though.	(food,yes)|(taco truck,no)
1298	Hmm, not really. I listen to all sorts of music, but I'm not a big music buff or anything.	(music,no)
3773	Yeah, you too.	(personal life,yes)
10762	Not really. I don't go to the gym too often.	(exercise,no)
12332	I don't really care about that to be honest.	(news,no)
5595	I don't have one in particular.	(TV shows,no)|(TV characters,no)
6679	I don't play video games, so I don't really see the point.	(technology,yes)|(video games,no)
5822	I'm really into indie rock.	(music,yes)|(music genre,yes)|(indie rock,yes)
6581	I had the lasagna, and it was pretty good.	(food,yes)|(lasagna,yes)
5435	Yeah, you too.	(conversation,yes)
8087	Yeah, have a good one.	(farewell,yes)
7173	Not really, I've been slacking off on my workout routine.	(sports,no)
5777	No, I haven't. I don't really have the money for vacations.	(vacation,no)
12077	Well, I'm a software engineer, if that's any help.	(technology,yes)|(profession,yes)|(software engineering,yes)
7806	I like to read sci-fi and fantasy books.	(books,yes)|(book genre,yes)|(sci-fi and fantasy,yes)
828	I really enjoy making homemade pasta.	(food,yes)|(cooking,yes)|(homemade pasta,yes)
12263	No, I don't really cook.	(food,yes)|(cooking,no)
12996	Not really, no. I haven't had much time to go to the movies lately.	(movie,no)
8874	Of course! Do you have any recommendations?	(movies,yes)
4353	No, I haven't.	(museum,yes)
9302	No, I'm not really interested in sci-fi movies.	(movie,no)|(sci-fi,no)
1945	Mostly watch TV.	(free time activities,no)
4199	I enjoy Italian food, how about you?	(food,yes)|(food type,yes)|(Italian food,yes)
12496	Not really, I'm more of a movie person.	(book,no)
6337	A little bit, why?	(news,no)
783	Not really, I don't drink much.	(nightlife,no)|(bars,no)
13341	Sorry, I'm not really into finance or stocks. Is there anything else you want to talk about?	(null, no)
8151	Oh, I'm not really a big fan of Indian food. It's just not my thing.	(food,yes)|(food type,no)|(Indian cuisine,no)
2506	No, I'm too afraid to do that.	(adventure sports,no)
13307	I mostly listen to classical music.	(music,yes)|(classical music,yes)
8849	Not really, I haven't had time to go to the movies.	(movie,yes)|(movies lately,no)
8145	Not really, I don't enjoy reading much.	(books,no)
6625	Yeah, I love Thai food. What's your favorite Thai dish?	(food,yes)|(favorite Thai dish,yes)
6684	Not great, a lot of work to do.	(day,no)
4329	Not really, just some old sitcom reruns.	(TV,yes)|(comedy,no)
10574	Yes, I love music! What about you?	(music,yes)
3232	Not really, I'm kind of behind on the latest releases.	(movie,yes)|(comedy movie,no)
8466	Actually, I'm not really into reading either.	(book,no)
11331	I love Eminem.	(music,yes)|(music artist,yes)|(Eminem,yes)
5814	Yes, both of them actually. They're great shows.	"(TV,yes)|(TV shows,yes)|([""Breaking Bad"", ""Ozark""], yes)"
12179	I can't choose just one, there are so many good options.	(cooking,yes)|(ingredient,unknown)
3926	Yeah, I do. I'm really into science fiction.	(books,yes)|(fiction genre,yes)|(science fiction,yes)
5688	Not really, I'm more into dramas.	(movies,no)|(genre,yes)|(comedy,no)
10630	Not really, I'm not into video games.	(entertainment,unknown)|(video game,no)
1428	Honestly, I try to avoid it as much as possible. It's too stressful.	(news,no)
8920	Not much, just hung out at home. Watched some TV, read a book, that kind of thing.	(weekend,no)
581	Hmm, I really like playing Minecraft and Final Fantasy.	"(entertainment,yes)|(video games,yes)|([""Minecraft"", ""Final Fantasy""], yes)"
3839	Oh, not really into the whole pumpkin spice craze.	(food,yes)|(Starbucks drinks,no)
5187	Got it. How about sports in general? Do you like watching or playing any sports?	(sports,unknown)
10662	Well, I find it really fascinating. But I can understand why it might not be everyone's cup of tea.	(education,yes), no)
5180	Not really, I usually just cook at home.	(food,no)|(restaurant,no)
4315	I like to read and play video games.	"(free time,yes)|(hobby,yes)|([""read"", ""play video games""], yes)"
7790	I work in finance. How about you?	(work,unknown)
381	No, I don't play any instruments. But I do love listening to music!	(music,yes)
5307	Not much, I just stayed at home all day.	(weekend,no)|(stay at home,no)
4670	Yeah, I just started watching this great show about time travel.	(TV shows,yes)|(time travel shows,yes)
7104	I like to go hiking and camping, and spend time outdoors. How about you?	(outdoors,yes)
10745	Honestly, I haven't watched any movies recently.	(movie,no)
7896	You too! We should catch up again soon.	(farewell,yes)
1836	Yeah, that's a great movie. Heath Ledger did an amazing job as the Joker.	(media,yes)|(movie character,yes)|(Joker,yes)
1040	Oh yes, I love basketball.	(sport,yes)|(basketball,yes)
4593	Hmm, I'm not really a reader.	(entertainment,yes)|(books,no)
9922	I enjoy reading books and watching movies. What about you?	(entertainment,yes)|(hobby,yes)
521	No, I don't really watch TV or movies.	(entertainment,no)|(movies and TV shows,no)
3867	No, I don't. Sorry.	(food,yes)|(pizza,no)
3360	Oh really? Which one did you read?	(books,yes|The Da Vinci Code,yes)
5078	I'm more of a fan of romantic comedies, to be honest.	(movies,yes)|(romantic comedies,yes)
12631	Yeah, I really like action movies.	(movie,yes)|(movie genre,yes)|(action,yes)
7916	I'm not really into movies, to be honest.	(movies,no)
12660	Yeah, I caught the score this morning.	(sports,yes)|(game last night,yes)
2487	Definitely Florence. It's such a beautiful and historic city.	(travel,yes)|(favorite place,yes)|(Florence,yes)
1664	Not really, I don't watch movies very often.	(movie,no)
8034	I enjoy reading and playing video games.	(hobbies,yes)|(reading,yes)
4115	Probably Japan. I've always been fascinated with the culture there.	(travel,yes)|(preferred destination,yes)|(Japan,yes)
11678	Yeah, it's my favorite drink. By the way, do you want to watch a movie after dinner?	(movie,yes)|(movie plan,yes)
9761	I'm not really a fan of burgers, to be honest.	(food,yes)|(burger,no)
6490	Nope, I've just been working non-stop.	(outdoor activity,no)
5277	Just some random stuff on Netflix, nothing exciting.	(TV,yes)
692	No, I'm not big on sports.	(sports,no)
10579	I am into gardening. It's therapeutic.	(hobby,yes)|(gardening,yes)
8409	Sure. Talk to you later!	(social interaction,yes)
7070	Sorry, I don't find pets interesting. So, have you gone anywhere for vacation recently?	(vacation,yes)
8269	I don't like them. I prefer the feeling of having a physical book in my hands.	(book,yes)|(e-books,no)
11111	Not really. I don't have much time for TV these days.	(TV show,no)
13180	Not really, I haven't had much time to watch movies lately.	(movies,yes)|(recent movies,no)
2720	No, I am not really into football.	(sports,no)
4021	Thanks, you too.	(daily life,yes)
12970	I don't really like horror movies. I find them too scary.	(movie,yes)|(movie genre,no)
6935	Not really, I have been busy with work.	(travel,no)
7301	Not really. Just some mindless game shows.	(TV,yes)|(game shows,no)
10770	I went to this Indian restaurant the other day, and the food was great. Have you tried Indian food?	(food,yes)|(Indian food,yes)
5758	I actually haven't watched any movies lately.	(movies,no)
7578	I'm not a big fan of sushi, to be honest.	(food,yes)|(sushi,no)
11321	I see. What are some of your favorite movies?	(movie,yes)
2079	No, I'm not really into reading fantasy novels.	(books,no)|(fantasy novels,no)
3655	A bunch of different artists played, but my favorites were The Black Keys and Tame Impala.	(music,yes)|(music band,yes)|(The Black Keys, Tame Impala,yes)
10749	No, I don't really like horror movies.	(movie,no)|(horror,no)
9147	Actually, I've been getting into crafting. I'm learning how to make my own candles.	(hobbies,yes)|(crafting,yes)
1181	Not really, I'm not much of an outdoorsy person.	(travel,yes)|(activity,yes)|(camping,no)
7772	Yeah, I've taken some medicine, but it doesn't seem to be helping much.	(health,no)|(headache treatment,no)
5329	Actually, yeah, I just finished The Queen's Gambit. Have you seen it?	(TV shows,yes)|(The Queen's Gambit,yes)
12445	Exactly my thoughts, I stopped watching it after the second season. Hey, do you like politics?	(politics,no)
2086	Yes, sometimes.	(books,yes)
9242	Hmm, contemporary art is not really my thing, but maybe I should check it out.	(art,yes)|(contemporary art,unknown)
8171	No, not really.	(news,unknown)
4038	Actually, I've been reading a lot of mystery novels recently.	(books,yes)|(book genre,yes)|(mystery,yes)
7960	It can be, but it's really rewarding once you start getting the hang of it.	(technology,unknown)|(learning to code,yes)
10798	Mostly non-fiction books, like biographies and history books.	(reading,yes)|(biographies,yes)
6596	Not yet, I was thinking of just staying at home and relaxing.	(weekend,yes)|(relaxation,no)
4340	I like watching documentaries or mystery movies.	(movie,yes)|(mystery,yes)
5317	Honestly, I'm not really sure. I haven't traveled much outside of my state.	(travel,unknown)
12431	Yes, that's true. By the way, have you read any good books lately?	(book,yes)
11597	Mostly action or thriller.	(entertainment,yes)|(movie genre,yes)|(action/thriller,yes)
466	I mostly like to work on small projects at home, like DIY stuff.	(hobbies,yes)|(DIY,yes)
12183	"Yes, I just finished watching ""The Social Dilemma"". It's really worth watching."	(TV shows,yes)|(suggestion,yes)|(The Social Dilemma,yes)
4179	It's going well.	(personal,yes)
2269	No, I haven't. What kind of food do they serve?	(food,yes)|(restaurant,yes)
11397	I do love sushi.	(food,yes)|(Japanese food,yes)|(sushi,yes)
2309	That sounds reasonable. How about you tell me what's your favorite cuisine?	(food,yes)
12408	Yes, I saw it.	(news,yes)|(Covid-19,yes)|(vaccine,yes)
3892	Mostly sports games, like FIFA and Madden.	(video game,yes)|(sports games,yes)
12791	Not really. Movies these days all seem the same to me.	(movies,no)
8188	Oh, I like taking a long bath or reading a book.	(activity,yes)|(relaxation,yes)|(reading,yes)
13061	How about we talk about something else?	(other,no)
4088	Actually, I'm not that big of a fan.	(books,no)|(sci-fi novels,no)
12963	Fair enough. How about movies? Do you like any particular genres?	(movies,yes)|(movie genres,yes)
8210	Not really. Just been staying at home.	(travel,no)
7251	I just cook at home most of the time. It's cheaper and healthier.	(food,yes)|(eating habits,yes)|(home-cooked meal,yes)
4516	No, I'm not really into superhero movies.	(movie,no)|(superhero movie,no)
5879	I'm good.	(general,yes)
