targets	response	score
Ugh, don't even get me started on that. It's all just a bunch of lies and corruption.	[' politics no ']	[' news no ', ' politics no ']	0.7769423912971438
Not really. Just going to visit my family.	[' holidays yes ', ' family yes ']	[' family yes ']	0.7841161637328506
Uh, sorry to cut this short, but I have to go now. It was nice talking to you!	[' boring topic no ']	[' end yes ']	0.4285695327672707
I'm going to visit my grandparents.	[' family yes ', ' family visit yes ', ' grandparents yes ']	[' family yes ', ' grandparents yes ']	0.8209021094069966
Not really, I just focus on the present right now.	[' travel no ']	[' future no ']	0.5751538789620977
Yes, I really like the latest song by Ariana Grande.	[' music yes ', ' song recommendation yes ', ' Ariana Grande song yes ']	[' music yes ', ' pop singer yes ', ' Ariana Grande yes ']	0.6265328157161587
Not really, I've just been at work a lot.	[' travel no ']	[' travel no ']	0.9999999872250708
(sighs) Not really.	[' golf no ']	[' books no ']	0.47746211186378607
Yeah, I guess that works too. Do you like sports?	[' sports unknown ']	[' sports unknown ']	0.9999999861334308
Oh, really? I don't particularly like ginger.	[' cooking yes ', ' ingredient no ']	[' food yes ', ' ginger no ']	0.5128264353482145
Definitely. I just started watching the show Stranger Things, it's really good.	[' entertainment yes ', ' TV shows yes ', ' Stranger Things yes ']	[' TV shows yes ', ' Stranger Things yes ']	0.6814263515244359
Actually, I've been reading a lot of thrillers lately.	[' literature yes ', ' thrillers yes ']	[' books yes ', ' genre yes ', ' thriller yes ']	0.6380425627083515
No, I don't have any pets.	[' pets no ']	[' pets no ']	0.999999977518144
Honestly, I loved everything about it. The writing, the acting, the cinematography...it was all amazing. But I think my favorite episode was the one where they steal the train.	[' TV shows yes ', ' favorite part yes ', ' train heist episode yes ']	[' TV show yes ', ' favorite episode yes ', ' train episode yes ']	0.6118110475616506
Hmm, never really got into those older movies.	[' movie yes ', ' The Godfather no ']	[' movie no ', ' classic movies no ']	0.6067520138563907
Not really, I think I prefer just staying at home and relaxing. Thanks for the suggestion though.	[' weekend no ', ' hiking no ']	[' travel no ']	0.5688183730309908
Yes, I have it on my watchlist but did not get the chance to watch it yet.	[' movie yes ', ' TV series yes ', ' Stranger Things yes ']	[' TV show yes ', ' Game of Thrones yes ']	0.5565662338917463
To be honest, I've been pretty busy with work, so I haven't had time to watch much of anything.	[' TV shows no ']	[' TV shows no ']	0.9999999937532956
Actually, I'm not really a fan of those either.	[' movie no ', ' romantic comedies no ']	[' TV shows no ']	0.5050062707603574
No, I haven't.	[' music no ', ' concerts no ']	[' restaurant yes ', ' new restaurant yes ']	0.26168388835510137
I like playing video games and reading.	[' video games yes ']	[' entertainment yes ', ' reading yes ']	0.5273134615048034
No, I haven't. But honestly, it doesn't sound very appealing to me.	[' outdoor activities no ', ' camping no ']	[' entertainment yes ', ' Escape Room no ']	0.39036300566365967
Not really, I'm open to anything. But I don't like crowded places or tourist traps.	[' travel yes ', ' type of travel no ']	[' travel yes ', ' travel tip no ']	0.7736421644226582
Mostly fantasy and sci-fi.	[' reading yes ', ' genre yes ', ' fantasy yes ']	[' hobbies yes ', ' reading yes ', ' fantasy and sci-fi books yes ']	0.621451708643225
Nah, I'm not much of a gamer.	[' video games no ']	[' video games no ']	0.9999999811168708
Honestly, I don't really have much time for hobbies.	[' hobbies no ']	[' hobbies no ']	0.9999999966230095
Yes, I really like 1984.	[' books yes ', ' book preference unknown ', ' 1984 yes ']	[' book yes ', ' 1984 yes ']	0.6629021330405483
It's alright.	[' small talk yes ']	[' work yes ']	0.6388490484448592
No, not anymore. My knee injury is giving me lots of troubles lately.	[' sports no ', ' soccer no ']	[' sports no ', ' running no ']	0.7243448883234713
Sounds like a good idea. But I think I should get going now, I have an early morning.	[' ending a conversation yes ', ' early morning no ']	[' goodbye yes ']	0.3907475300862825
Actually, I'm not much of a reader.	[' book no ']	[' books no ']	0.8583480947508343
I read different kinds of news, but mostly science and technology.	[' news yes ', ' science and technology yes ']	[' news yes ', ' type of news yes ', ' science and technology yes ']	0.6900226166120693
Not really, I've been trying to avoid eating out too much.	[' restaurant no ']	[' restaurant no ']	0.9999999839339471
Yeah, thanks. Bye.	[' farewell unknown ']	[' farewell yes ']	0.6962823698505317
I'm a software engineer.	[' career unknown ', ' job title unknown ', ' software engineer unknown ']	[' work yes ', ' software engineering yes ']	0.2721654991357267
I'm a big basketball fan. How about you?	[' sport yes ', ' favorite sport unknown ']	[' sports yes ', ' basketball yes ']	0.5762685732027841
I agree. That's why I usually don't exercise.	[' health yes ', ' exercise no ']	[' exercise no ']	0.6805990356461498
Yes, I actually just finished a really great novel.	[' entertainment yes ', ' books yes ']	[' books yes ', ' novel yes ']	0.6259435746851961
Yeah, it's been nice. See you later.	[' goodbye yes ']	[' goodbye yes ']	0.9999999948937661
No, not really. I don't go to concerts much.	[' music yes ', ' concerts no ']	[' music no ', ' live music no ']	0.7158506662542043
That sounds like fun. What kind of dog do you have?	[' weekend plans yes ', ' dog yes ']	[' pets yes ', ' dog yes ']	0.6433810459340432
Same to you. Talk to you later!	[' farewell yes ']	[' goodbye yes ']	0.8481609994519425
Hey there, I'm doing okay.	[' greetings yes ']	[' greeting yes ']	0.8192061054623855
No, and I don't think I want to. I can't handle spicy food.	[' food no ']	[' food yes ', ' spicy food no ']	0.7849485000576824
I don't really like Tom Hanks movies. They're usually too predictable.	[' movie yes ', ' Tom Hanks movies no ']	[' movie no ', ' movie actor no ', ' Tom Hanks no ']	0.6478110396049903
I like playing video games, hanging out with my friends, and going to concerts.	[' video games yes ']	[' hobby yes ', ' video games yes ']	0.7013120262584284
I don't really like sushi all that much.	[' food yes ', ' sushi no ']	[' restaurant yes ', ' sushi no ']	0.6802071675439118
Yes, I went to Italy a few years ago. It was amazing.	[' travel yes ', ' foreign country yes ', ' Italy yes ']	[' travel yes ', ' Italy yes ']	0.6430786017573381
Oh, I haven't seen that one in ages. Do you like action movies too?	[' movie yes ', ' action yes ']	[' movie yes ', ' action movie yes ']	0.8206403013895631
Not really. It's going to be a boring one.	[' weekend yes ', ' boring no ']	[' education no ', ' school curriculum no ']	0.3250719553090715
Yeah, I like Coldplay. They have some good songs.	[' music yes ', ' band yes ', ' Coldplay yes ']	[' music yes ', ' band yes ', ' Coldplay yes ']	0.7856252876624166
Well, I like reading and listening to podcasts.	[' hobbies yes ', ' podcasts yes ']	[' hobbies yes ', ' reading yes ']	0.6248072165045989
We just hung out on the beach mostly. Nothing too exciting.	[' travel yes ', ' beach no ']	[' travel yes ', ' beach no ']	0.6565224312486897
Well, it depends on what you like. Do you prefer fiction, non-fiction, or something else?	[' books yes ', ' genre yes ']	[' books yes ', ' book genre unknown ']	0.6644910127287835
I'm a big fan of chicken tikka masala. What about you?	[' food yes ', ' Indian dish yes ', ' chicken tikka masala yes ']	[' food yes ', ' Indian dish unknown ']	0.6053892793788397
Never heard of them, sorry.	[' music no ']	[' music no ']	0.9999999965634914
I make a mean lasagna.	[' food yes ']	[' cooking yes ', ' signature dish yes ', ' lasagna yes ']	0.6030396722558657
Nope, not interested in surfing, to be honest.	[' adventure no ']	[' beach yes ', ' surfing no ']	0.415391249195985
Not great, actually. I've been swamped with work.	[' work no ']	[' work no ']	0.9999999899962602
Not really, I'm not a big movie person.	[' movie no ']	[' movie no ']	0.9999999796277829
Nothing really, I haven't had much time to watch anything lately.	[' Netflix no ', ' watched recently no ']	[' TV show no ']	0.5550654013173346
Ah, that's too bad. Hey, did you hear about the new iPhone that's coming out soon?	[' technology no ', ' iPhone no ']	[' technology yes ', ' iPhone yes ']	0.5504689172269487
No, I missed it. I'm not much of a football fan.	[' sports no ']	[' sports no ', ' football no ']	0.8880795445543757
If you're into sci-fi, I recently watched this show on Amazon called The Expanse. It's pretty good, but it has a bit of a slow start.	[' TV yes ', ' sci-fi yes ', ' The Expanse yes ']	[' TV shows yes ', ' recommendations yes ', ' The Expanse unknown ']	0.4601764177916219
I'm more of a basketball person.	[' sports yes ', ' favorite sport yes ', ' basketball yes ']	[' sports yes ', ' basketball yes ']	0.7960260018854438
Yeah, I do. Especially ones that focus on the environment or animals.	[' movie no ']	[' movie yes ', ' documentary yes ']	0.6433498517997809
Nope, not really my thing.	[' music yes ', ' rap no ']	[' outdoor activities no ']	0.3217219744548028
No, I haven't really had the time. To be honest, cooking isn't really my thing either. I'm more of a takeout person.	[' recipes no ']	[' cooking no ']	0.7212278435959143
Yeah, I just listened to a podcast about the Zodiac Killer. Have you ever heard of him?	[' podcasts yes ', ' true crime yes ', ' Zodiac Killer yes ']	[' unknown yes ']	0.4002844041700559
Pretty good. I went for a hike.	[' recreation yes ']	[' weekend yes ', ' hiking yes ']	0.5532342736797885
Not really. It was just another day.	[' Work no ']	[' daily routine no ']	0.5112079867349743
Not really, fortunately.	[' weekend yes ', ' wild animals no ']	[' news no ']	0.32789779748978914
Honestly, I try not to pay attention to the news these days. It's all so negative.	[' news no ', ' negative news no ']	[' news no ', ' negative news no ']	0.9208118806102142
Yes, I have a younger brother who's in college right now.	[' family yes ', ' siblings yes ', ' brother yes ']	[' family yes ', ' brothers yes ']	0.810063655916928
Not really.	[' TV show no ']	[' reading no ']	0.47225598383857925
Ugh, not that again. I'm so sick of hearing about it.	[' news no ', ' climate change no ']	[' politics no ']	0.5586738151343515
Yeah, it's been a weird year for movies. Hopefully, things will get better soon. Anyway, I gotta run now. It was good chatting with you!	[' farewell yes ']	[' farewell yes ']	0.9999999944726996
Yes, I have a cat, and it's the best thing ever!	[' pets yes ', ' cat yes ']	[' pets yes ', ' cats yes ']	0.8786058639415337
Not really. I find it too tiring.	[' outdoors yes ', ' hiking no ']	[' hobby no ', ' reading no ']	0.4532050889993553
Not really, I don't have much time to read these days.	[' book no ']	[' book no ', ' reading no ']	0.8225367098474341
Yeah, I have a dog. He's a golden retriever and he's the best thing that's ever happened to me. What's your favorite kind of food?	[' food yes ']	[' food yes ']	0.9999999955522965
I usually just bring leftovers from home. It's healthier and cheaper that way.	[' food yes ', ' lunch unknown ']	[' food yes ', ' lunch no ']	0.5980571622669484
Sorry, not really into basketball players. I just like watching the game.	[' sports yes ', ' favorite basketball player no ']	[' sports yes ', ' basketball player no ']	0.7280940336240285
Actually, I'm not really into comedies. They just don't do it for me.	[' movie yes ', ' movie genre no ']	[' movie no ', ' comedy no ']	0.6947863394846241
No, I'm not really into sports.	[' sports no ']	[' sports no ']	0.9999999819397033
Not really. I tend to just spend my free time watching movies or reading.	[' hobby no ']	[' books yes ']	0.3708154762526392
You too!	[' farewell yes ']	[' farewell yes ']	0.9999999944726996
No, I haven't had the chance to travel much lately.	[' travel no ']	[' travel no ']	0.9999999872250708
No, I'm not much into sports.	[' sports no ']	[' sports no ']	0.9999999819397033
Not really, sorry.	[' fitness yes ', ' health and fitness tips no ']	[' books no ']	0.320504022206031
That sounds interesting. I have never been camping before.	[' weekend yes ', ' camping unknown ']	[' travel yes ', '  camping unknown ']	0.5084579113373967
No, I'm not really a fan of sushi.	[' food no ', ' sushi no ']	[' food yes ', ' sushi no ']	0.7311912799943286
Honestly, I'm not that into movies.	[' movie yes   no ']	[' movie no ']	0.9120996215384193
I like to cook and try out new recipes.	[' food yes ']	[' cooking yes ']	0.6904006713141664
I'm not really into music, but I do like jazz.	[' music unknown ', ' genre yes ', ' jazz yes ']	[' music yes ', ' genre yes ', ' jazz yes ']	0.6791619626574968
Not really, I find them a bit boring. But some historical sites can be interesting.	[' culture no ', ' museum no ']	[' travel yes ', ' historical sites yes ']	0.3146684563767406
Not much, just relaxing at home.	[' general chat yes ']	[' weekend no ']	0.2948022254258267
Not really, I find it kind of boring to watch.	[' sports yes ', ' soccer no ']	[' sports no ']	0.7634941597966886
Not really, I'm not very interested in sports.	[' sports no ']	[' sports no ']	0.9999999819397033
Yeah, nice talking to you too. Bye.	[' farewell unknown ']	[' farewell yes ']	0.6962823698505317
Sure, that would be fun.	[' food yes ']	[' hobbies yes ', ' board game yes ']	0.4372017008994913
I'm a big fan of Italian food, actually.	[' food yes ', ' cuisine yes ', ' Italian food yes ']	[' food yes ', ' cuisine yes ', ' Italian yes ']	0.7206834354444314
I like listening to classical music. It's really relaxing. Would you like me to recommend some composers to you?	[' music yes ', ' genre yes ', ' classical yes ']	[' music yes ', ' classical music yes ']	0.8048041976028446
No, I don't really like sushi that much.	[' food no ', ' sushi no ']	[' food yes ', ' sushi no ']	0.7311912799943286
I don't really know. Maybe somewhere tropical?	[' travel no ', ' tropical destinations unknown ']	[' vacation yes ', ' vacation location yes ', ' tropical yes ']	0.4484730583662392
Oh, well, still plenty of great plays and shows out there. What other kinds of performances do you enjoy?	[' theater yes ', ' performance yes ']	[' theater yes ', ' performance types unknown ']	0.5649950665755756
Eh, I don't mind it. I'm not a very active person.	[' lifestyle yes ', ' activity level no ']	[' weekend yes ', ' activity no ']	0.45899603931870675
Yeah, I do, although I find that they're usually not as good as the books themselves.	[' movies yes ', ' book adaptations yes ']	[' books yes ', ' movie adaptations unknown ']	0.662161046478498
Not really interested in food right now.	[' food no ']	[' food no ']	0.9999999776546105
Actually, I'm not really interested in talking about that, either. Sorry.	[' hobbies no ']	[' politics no ']	0.48108300193923503
I've never played Civilization 6, but I do like strategy games.	[' video games yes ', ' strategy games yes ']	[' hobbies yes ', ' strategy games yes ']	0.6456545459390898
Alright, I'll add it to my watch-list.	[' TV show yes ', ' Netflix show yes ']	[' TV show yes ', ' Mindhunter yes ']	0.7656831372388098
Not really, I don't watch a lot of TV.	[' entertainment yes ', ' TV no ']	[' TV show no ']	0.6731858061429998
Yeah, let's do that. How's your work been lately?	[' work yes ']	[' work no ']	0.6771393382669634
Probably The Shining. It's a classic.	[' book yes ', ' favorite book yes ', ' The Shining yes ']	[' movie yes ', ' favorite movie yes ', ' The Shining yes ']	0.6066252413018899
Yeah, I get that. I thought I couldn't give up cheese either, but there are some really good vegan alternatives out there.	[' food yes ', ' veganism yes ', ' vegan alternatives yes ']	[' food yes ', ' veganism yes ']	0.7402815264344568
No, I'm not really into sports.	[' sports no ']	[' sports no ']	0.9999999819397033
Not really, I find most movies a bit boring. I prefer watching TV shows.	[' TV shows yes ']	[' movies no ']	0.46255331430790103
Yeah, it really can be. But enough about work, how about you? What have you been up to lately?	[' personal life yes ']	[' personal life yes ']	0.9999999886037478
Yeah, I've also been to France and Spain. I loved them both.	[' travel yes ', ' travel in Europe yes ', '  "France"  "Spain"   yes ']	[' travel yes ', ' country yes ', ' Spain yes ']	0.6851559697234807
Not really, I don't have much free time.	[' hobbies no ']	[' TV shows no ']	0.4441247510099058
No, I've never been interested in sports.	[' sports no ']	[' sports no ']	0.9999999819397033
Yeah, I've been trying to make time to work out lately.	[' exercise yes ']	[' fitness yes ']	0.6259964111087429
No, I'm not really into sports.	[' sports yes ', ' sports no ']	[' sports no ']	0.8828051223638912
Definitely! I'd highly recommend it.	[' theater yes ', ' review yes ']	[' books yes ', ' book recommendation yes ']	0.5087763800235348
Nah, I'm not really into them.	[' video games yes ', ' game genre yes ', ' puzzle games no ']	[' TV shows no ']	0.40474078078986375
I haven't seen that one yet.	[' series yes ', ' specific series no ', ' The Family Man unknown ']	[' TV show yes ', ' Stranger Things no ']	0.4040379104570834
Not really, sorry. I'm not much of a conversationalist.	[' conversation no ']	[' conversation no ']	0.9999999995333135
I've been really into Vampire Weekend lately.	[' music yes ', ' music band yes ', ' Vampire Weekend yes ']	[' music yes ', ' music group yes ', ' Vampire Weekend yes ']	0.7110248570055137
I like to read and play video games.	[' hobby yes ', ' reading yes ']	[' hobbies yes ', ' reading yes ']	0.7052239396648312
I like strong coffee with milk. How about you?	[' coffee yes ', ' preference unknown ']	[' food yes ', ' coffee preference unknown ']	0.5602687288578696
We went to Mount Baker, it was really beautiful.	[' outdoor activities yes ', ' hiking yes ', ' Mount Baker yes ']	[' outdoor activities yes ', ' hiking trail yes ', ' Mount Baker yes ']	0.5484138095199107
Just some boring paperwork, nothing interesting, really.	[' work no ', ' paperwork no ']	[' work no ', ' paperwork no ']	0.8100928702240924
I don't like how people get so caught up in the commercial aspect of it. It's really just a way for businesses to make money.	[' holiday no ']	[' music no ', ' music criticism no ']	0.4599493448215142
Honestly, I don't really like it. The coffee wasn't great.	[' coffee shop no ', ' coffee quality no ']	[' food and beverage yes ', ' coffee no ']	0.6549457925398771
I don't know, it's hard to say.	[' sports yes ']	[' hobbies yes ', ' favorite thing to do unknown ']	0.4768465908738543
Yeah, I like Mexican food a lot!	[' food yes ', ' Mexican food yes ']	[' food yes ', ' cuisine yes ', ' Mexican yes ']	0.736344859498069
No, not really interested in sports either.	[' sports no ']	[' sports no ']	0.9999999819397033
Oh yeah, I love sushi! It's one of my favorites.	[' food yes ', ' cuisine yes ', ' sushi yes ']	[' restaurant yes ', ' cuisine yes ', ' sushi yes ']	0.7634423543753909
Yes, I played it last week.	[' video game yes ', ' latest yes ']	[' video game yes ', ' Valorant yes ']	0.6908666977677183
I see. Well, it was nice talking to you, but I have to go now.	[' goodbye yes ']	[' farewell yes ']	0.8481609994519425
Yeah, maybe. Anyway, I have to get going now. Nice talking to you!	[' farewell yes ']	[' goodbye yes ']	0.8481609994519425
No, I haven't heard anything about it.	[' food yes ']	[' restaurant unknown ', ' new restaurant no ']	0.3578154508468328
Actually, no. I haven't gone anywhere in a while.	[' travel no ']	[' travel no ']	0.9999999872250708
I'm doing fine, thank you.	[' feeling yes ', ' fine yes ']	[' greeting yes ']	0.5211472452783246
Not at all. I'm not really into sports.	[' sports no ']	[' sports no ']	0.9999999819397033
Actually, yes. I just finished a very interesting novel.	[' books yes ']	[' books yes ']	0.9999999768175928
Sure, it's nice to see new places.	[' travel yes ']	[' travel yes ']	0.9999999753587387
