targets	response	precision	recall	f1
Not really, I've mostly been watching stuff on Netflix lately.	[' movies no ']	[' movie yes ', ' Netflix yes ']	0.679833573582413	0.5932398035857406	0.6335916576311412
I'm not really into it.	[' music yes ', ' music genre unknown ', ' jazz no ']	[' TV shows no ', ' Stranger Things no ']	0.39249802978219456	0.45810554601865316	0.4227716162028357
Not really, I'm not really into art.	[' art no ']	[' art no ']	0.9999999973943268	0.9999999973943268	0.9999999973943268
No, but I really want to. What did you like most about it?	[' travel yes ', ' Europe yes ', ' likes unknown ']	[' TV series yes ', ' Breaking Bad yes ']	0.3980506885969364	0.48292494518339935	0.4363993726955235
No, I haven't had a chance to catch up on my TV shows lately.	[' TV shows no ']	[' TV shows yes ', ' TV show season no ']	0.885484282725645	0.8656457589895584	0.8754526457013735
Not really, I don't have much of a travel budget right now.	[' travel yes   no ']	[' travel no ']	0.8983029660953148	0.8983029660953148	0.8983029660953148
Oh, really? I'm not a fan of Italian cuisine.	[' food no ', ' Italian cuisine no ']	[' food yes ', ' cuisine yes ', ' Italian no ']	0.7864954281144747	0.7731075405666908	0.7797440224298943
No, I don't really watch TV or movies that much.	[' TV shows no ', ' movies no ']	[' movie no ']	0.7322170817231849	0.8874147804621596	0.8023801902134535
Books aren't really my thing, to be honest.	[' books no ']	[' books no ']	0.9999999905938901	0.9999999905938901	0.9999999905938901
No, I haven't. Is it any good?	[' food yes ', ' new Italian place yes ']	[' food yes ', ' restaurant yes ', ' sushi unknown ']	0.7480368165938004	0.6719768858744871	0.707969859249147
Yeah, I love exploring new places!	[' travel yes ']	[' travel yes ']	0.9999999753587387	0.9999999753587387	0.9999999753587387
Not really, I don't play too many video games.	[' video games no ']	[' hobby no ', ' video games no ']	0.9999999811168708	0.6985523108725198	0.8225266904953544
Mostly science fiction and fantasy.	[' book no ', ' science fiction no ']	[' books yes ', ' favorite genre yes ']	0.5326221179905783	0.48667631263024025	0.5086136907933528
Actually, no. I haven't traveled anywhere in a while. Sorry.	[' travel no ']	[' travel no ']	0.9999999872250708	0.9999999872250708	0.9999999872250708
Nope, not really into that either.	[' dance no ', ' ballet no ']	[' entertainment yes ', ' TV shows no ']	0.4240866724766268	0.4292736408547744	0.4266643927260519
Well, I've been to a few different trails, but my favorite is probably Mount Rainier.	[' outdoor activities yes ', ' hiking spots yes ', ' Mount Rainier yes ']	[' hobbies yes ', ' mountains yes ', ' Mount Rainier yes ']	0.7089104836961555	0.7089104836961555	0.7089104836961555
Yes, I have. I really enjoyed them!	[' food yes ', ' Korean tacos yes ']	[' music yes ', ' K-pop yes ']	0.600864178054042	0.6340999346576491	0.6170348306001963
Not really, I've been sticking to cooking at home.	[' food no ', ' restaurants no ']	[' food no ']	0.8578942918085289	0.9999999776546105	0.9235124804884032
Not really. I used to be into basketball but not so much anymore.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
Sorry, but I'd rather not share it.	[' music yes ', ' band name no ']	[' food yes ', ' restaurant review no ']	0.4969406918800814	0.4969406918800814	0.4969406918800814
No, I haven't.	[' food yes ', ' restaurant unknown ']	[' video games yes ', ' game title yes ', ' Elder Scrolls yes ']	0.2895007012950995	0.3863021951691899	0.33096856198285446
Not really, I find them quite boring.	[' sports no ']	[' video games yes ', ' game genre no ']	0.5092625687921547	0.4500761781611548	0.477843621703858
Mostly first-person shooters like Call of Duty.	[' video games yes ', ' game genre yes ', ' Call of Duty yes ']	[' video game yes ', ' game genre yes ', ' Call of Duty yes ']	0.9755124608402266	0.9755124608402266	0.9755124608402266
Actually, I'm not really into reading.	[' books no ']	[' books no ']	0.9999999905938901	0.9999999905938901	0.9999999905938901
I don't really have one particular favorite, but I like action movies in general.	[' movies yes ', ' action movies yes ']	[' movie yes ', ' movie genre yes ']	0.8495413462465211	0.8470128723473569	0.8482752251307306
It's pretty cloudy and looks like it's gonna rain.	[' weather no ']	[' weather no ']	0.9999999863457758	0.9999999863457758	0.9999999863457758
You too.	[' greeting yes ']	[' goodbye yes ']	0.6572352132998155	0.6572352132998155	0.6572352132998155
Not really, not in the mood for that kind of food.	[' food no ', ' cuisine no ', ' Mexican no ']	[' restaurant no ']	0.6074404695836964	0.7043728925263609	0.652325419082509
Hmm, I've never heard of that.	[' books no ', ' The Picture of Dorian Gray no ']	[' book yes ', " The Time Traveler's Wife yes "]	0.5268144004052722	0.5268144004052722	0.5268144004052722
Actually, yes! I just finished a really interesting biography about Abraham Lincoln.	[' books yes ', ' biography yes ', ' Abraham Lincoln yes ']	[' books yes ', ' biography yes ', ' Abraham Lincoln yes ']	0.9999999870709297	0.9999999870709297	0.9999999870709297
Not really, I find it quite boring.	[' books no ']	[' books no ']	0.9999999905938901	0.9999999905938901	0.9999999905938901
That's cool. Honestly, I'm not really into rock music.	[' music no ', ' rock no ']	[' music yes ', ' rock no ']	0.8779124886791878	0.8779124886791878	0.8779124886791879
Hmm, I haven't. What's it about?	[' movies yes ', ' Parasite yes ']	[' TV shows yes ', ' Netflix yes ', ' Black Mirror yes ']	0.5499977854542212	0.5914659483340828	0.569978619777433
Actually, I'm not a big reader.	[' books no ']	[' books no ']	0.9999999905938901	0.9999999905938901	0.9999999905938901
I like trying new things, but not certain types of food like sushi or spicy food.	[' food yes ', ' sushi no ']	[' food yes ', ' food type yes ']	0.7507285345673331	0.9446833491192757	0.8366117438935772
Not really.	[' movie no ']	[' hobby yes ', ' video games no ']	0.5678714311907267	0.43066793418724286	0.48984351470668425
No, not really.	[' recipe unknown ']	[' TV shows yes ', ' TV show genre no ']	0.18607032793291767	0.14041827220789027	0.1600525956877361
It was amazing. The atmosphere was just electric.	[' music festival yes ', ' experience yes ']	[' music yes ', ' concert yes ']	0.6848548210193394	0.7737606910035434	0.7265982504383497
Nah, we just hung out at the park all day.	[' outing yes', 'shopping no ']	[' weekend yes ', ' activity yes ', ' park yes ']	0.49079233583420917	0.517495369815688	0.5037902573085992
Yeah, I'm really into cooking. I could talk about food all day!	[' food yes ', ' cooking yes ']	[' hobby yes ', ' cooking yes ']	0.8452003304586695	0.7775360714607054	0.8099574814058744
No, not really interested in sports.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
I'm not really into pets myself.	[' pets no ']	[' pets yes ', ' pets no ']	0.999999977518144	0.9146190135161029	0.9554057462468888
No, I haven't. Is it as good as Breaking Bad?	[' TV show yes ', ' Better Call Saul unknown ']	[' TV show yes ', ' TV show quality yes ', ' Better Call Saul yes ']	0.881008079289539	0.8889411842365621	0.8849568532438021
No, I'm allergic to cats and dogs.	[' pets no ']	[' pets yes ', ' cats and dogs no ']	0.851734564833014	0.8404863071735379	0.8460730522011769
Probably Skyrim.	[' video games yes ', ' favorite video game yes ', ' Skyrim yes ']	[' video games yes ', ' favorite game yes ', ' Skyrim yes ']	0.9713381828435107	0.9713381828435107	0.9713381828435107
Yeah, I love watching crime series. How about you?	[' movies and shows yes ', ' crime series yes ']	[' TV show yes ', ' crime series yes ']	0.8477213957320848	0.8477213957320848	0.8477213957320848
I'm not a great dancer, so I usually avoid it if I can.	[' dancing no ']	[' music yes ', ' music genre yes ', ' dancing no ']	0.9999999831407493	0.602705361452858	0.7521099911781017
I'm not a big sports fan.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
I recommend the margherita pizza, it's also pretty good.	[' food yes ', ' pizza yes ', ' margherita pizza yes ']	[' food yes ', ' pizza recommendation yes ']	0.8646595524608975	0.9137021392640847	0.8885046124135982
I enjoy a lot of different kinds of music. Lately, I've been listening to a lot of indie rock.	[' music yes ', ' favorite genre yes ', ' indie rock yes ']	[' music yes ', ' indie rock yes ']	0.8850676833660351	0.9999999889203259	0.9390301330522449
No, I haven't. I'm not really a fan of that kind of food.	[' food no ']	[' restaurant no ', ' Thai food no ']	0.7768107093199752	0.7196168972054062	0.7471208228438813
Yeah, it's definitely worth it in the long run.	[' finance unknown ', ' saving money yes ']	[' fitness yes ']	0.26211719779089077	0.37717478776642566	0.309292156573878
No, I haven't. I'm not really into that kind of thing. It seems too scary for me.	[' haunted houses no ']	[' adventure sports yes ', ' bungee jumping no ']	0.37468424415727	0.2980853768753274	0.33202418966969216
Not really. Movies aren't really my thing.	[' movie no ']	[' movies no ']	0.8874147804621596	0.8874147804621596	0.8874147804621596
Not really. I don't watch that much TV.	[' TV shows no ']	[' TV show no ']	0.9479853235010943	0.9479853235010943	0.9479853235010944
Jazz is not my thing, sorry.	[' music yes ', ' jazz no ']	[' music yes ', ' jazz no ']	0.9999999894894627	0.9999999894894627	0.9999999894894627
Sadly, no. I need to catch up on housework which is incredibly boring.	[' weekend plans no ', ' housework no ']	[' weekend no ']	0.6150702381576097	0.8472253771127898	0.7127192464125317
No, I haven't. I'm not really interested in traveling to Europe.	[' travel yes ', ' Europe no ']	[' travel no ', ' Europe no ']	0.882560844034524	0.882560844034524	0.882560844034524
Honestly, I don't really care much about music.	[' music yes ']	[' music no ']	0.755824990135444	0.755824990135444	0.755824990135444
No, I haven't.	[' sleep yes ', ' remedy unknown ']	[' food yes ', ' restaurant yes ', ' Italian yes ']	0.3375452916256896	0.46759125193871337	0.3920657353311382
I'm actually not that into music. I don't listen to it very often.	[' music no ']	[' music no ']	0.9999999965634914	0.9999999965634914	0.9999999965634914
No, I don't really follow sports.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
No, I've been pretty lazy the past few weeks.	[' gym no ']	[' reading no ']	0.47603261624709337	0.47603261624709337	0.4760326162470933
Yeah, I love animals. They're the best.	[' animals yes ']	[' animals yes ']	0.9999999859668836	0.9999999859668836	0.9999999859668836
I work in an office doing customer service. It's not very exciting.	[' work yes ', ' type of work no ']	[' career no ', ' customer service no ']	0.41919971576452353	0.5052521506197772	0.458220845521399
Yes, I did. The Eiffel Tower is amazing.	[' travel yes ', ' France trip yes ', ' visit to Paris yes ']	[' travel yes ', ' Europe yes ', ' Eiffel Tower yes ']	0.7429906791246905	0.662553421332885	0.700470396214887
Honestly, I just like to relax at home and watch TV or something. I'm pretty boring, I guess.	[' entertainment yes ', ' TV yes ']	[' hobbies no ', ' TV yes ']	0.8031819736481636	0.6662360248522692	0.7283274955151503
Yeah, I love sports! What's your favorite sport?	[' sports yes ', ' favorite sport unknown ']	[' sports yes ', ' favorite sport unknown ']	0.9999999925568097	0.9999999925568097	0.9999999925568097
Oh, I see. Well, thanks for sharing your opinion. Anyway, I have to go now. See you later!	[' farewell yes ']	[' goodbye yes ']	0.8481609994519425	0.8481609994519425	0.8481609994519425
Eh, I'm not a fan.	[' food no ', ' tacos no ']	[' TV shows yes ', ' Breaking Bad yes ']	0.2930739295943812	0.2930739295943812	0.2930739295943812
Not really. Books are kind of boring to me.	[' books no ']	[' book no ']	0.8583480947508343	0.8583480947508343	0.8583480947508343
Sounds good, take care.	[' goodbye yes ']	[' farewell yes ']	0.8481609994519425	0.8481609994519425	0.8481609994519425
It’s been a tough day at work.	[' work unknown ']	[' work no ']	0.5341303768400627	0.5341303768400627	0.5341303768400627
I don't really have one. I listen to whatever's on the radio.	[' music no ']	[' music yes ', ' music genre yes ', ' radio yes ']	0.755824990135444	0.6187401138031171	0.6804468396173506
Ugh, don't even get me started on that. It's all just a bunch of lies and corruption.	[' politics no ']	[' politics no ']	0.9999999938242636	0.9999999938242636	0.9999999938242636
Not really. Just going to visit my family.	[' holidays yes ', ' family yes ']	[' family yes ']	0.7841161637328506	0.9999999952883731	0.8789967582251578
Uh, sorry to cut this short, but I have to go now. It was nice talking to you!	[' boring topic no ']	[' goodbye yes ']	0.34190397868595335	0.34190397868595335	0.34190397868595335
I'm going to visit my grandparents.	[' family yes ', ' family visit yes ', ' grandparents yes ']	[' weekend yes ', ' grandparents yes ']	0.7987743429310132	0.7681047703474917	0.7831393986135041
Not really, I just focus on the present right now.	[' travel no ']	[' long-term goals no ']	0.44267961054932425	0.44267961054932425	0.44267961054932425
Yes, I really like the latest song by Ariana Grande.	[' music yes ', ' song recommendation yes ', ' Ariana Grande song yes ']	[' music yes ', ' singer yes ', ' Ariana Grande yes ']	0.8252900634178503	0.8414326256260259	0.8332831724551756
Not really, I've just been at work a lot.	[' travel no ']	[' activity no ']	0.5301494698547624	0.5301494698547624	0.5301494698547624
(sighs) Not really.	[' golf no ']	[' hobbies no ']	0.47900731900268734	0.47900731900268734	0.47900731900268734
Yeah, I guess that works too. Do you like sports?	[' sports unknown ']	[' sports yes ']	0.5893911314490978	0.5893911314490978	0.5893911314490978
Oh, really? I don't particularly like ginger.	[' cooking yes ', ' ingredient no ']	[' food yes ', ' ginger no ']	0.6398110731757249	0.6398110731757249	0.6398110731757249
Definitely. I just started watching the show Stranger Things, it's really good.	[' entertainment yes ', ' TV shows yes ', ' Stranger Things yes ']	[' TV yes ', ' TV show yes ', ' Stranger Things yes ']	0.8520114934033058	0.9523764490827391	0.8994026855966952
Actually, I've been reading a lot of thrillers lately.	[' literature yes ', ' thrillers yes ']	[' books yes ', ' book genre yes ', ' thrillers yes ']	0.8751806994887918	0.799285809962571	0.8355132937041604
No, I don't have any pets.	[' pets no ']	[' pets no ']	0.999999977518144	0.999999977518144	0.999999977518144
Honestly, I loved everything about it. The writing, the acting, the cinematography...it was all amazing. But I think my favorite episode was the one where they steal the train.	[' TV shows yes ', ' favorite part yes ', ' train heist episode yes ']	[' TV show yes ', ' favorite episode yes ', ' train heist yes ']	0.8703387480551298	0.8703387480551298	0.8703387480551298
Hmm, never really got into those older movies.	[' movie yes ', ' The Godfather no ']	[' movies yes ', ' classic movies no ']	0.6878947170864622	0.7663771750075251	0.7250182209383613
Not really, I think I prefer just staying at home and relaxing. Thanks for the suggestion though.	[' weekend no ', ' hiking no ']	[' travel no ']	0.5688183730309908	0.5982919547408694	0.5831830088299178
Yes, I have it on my watchlist but did not get the chance to watch it yet.	[' movie yes ', ' TV series yes ', ' Stranger Things yes ']	[' movies yes ', ' latest action movies yes ']	0.6821619982098636	0.8103999011896743	0.7407719789270074
To be honest, I've been pretty busy with work, so I haven't had time to watch much of anything.	[' TV shows no ']	[' movie no ']	0.5770193829842102	0.5770193829842102	0.5770193829842102
Actually, I'm not really a fan of those either.	[' movie no ', ' romantic comedies no ']	[' music yes ', ' pop music no ']	0.5128754885623126	0.49190060012299286	0.5021691169865999
No, I haven't.	[' music no ', ' concerts no ']	[' food yes ', ' Italian restaurant unknown ']	0.31634657412482065	0.3045174260958718	0.3103193113870179
I like playing video games and reading.	[' video games yes ']	[' hobby yes ', ' video games yes ']	0.999999982349641	0.7013120262584284	0.8244366821977571
No, I haven't. But honestly, it doesn't sound very appealing to me.	[' outdoor activities no ', ' camping no ']	[' travel no ', ' bungee jumping no ']	0.555126240120499	0.5417518611481251	0.5483575128532725
Not really, I'm open to anything. But I don't like crowded places or tourist traps.	[' travel yes ', ' type of travel no ']	[' travel yes ', ' travel tip yes ']	0.8443728585353308	0.9014740703740745	0.871989663117523
Mostly fantasy and sci-fi.	[' reading yes ', ' genre yes ', ' fantasy yes ']	[' hobby yes ', ' book genre yes ', ' fantasy yes ']	0.8039416913493979	0.8069463241209632	0.8054412056105122
Nah, I'm not much of a gamer.	[' video games no ']	[' gaming no ']	0.608041389803155	0.608041389803155	0.608041389803155
Honestly, I don't really have much time for hobbies.	[' hobbies no ']	[' hobbies yes ', ' no no ']	0.8620035307698474	0.7043724832179941	0.7752564672708898
Yes, I really like 1984.	[' books yes ', ' book preference unknown ', ' 1984 yes ']	[' reading yes ', ' book title yes ', ' 1984 yes ']	0.7356000615550693	0.8068164817037445	0.7695641701961855
It's alright.	[' small talk yes ']	[' general unknown ']	0.2463820371236214	0.2463820371236214	0.2463820371236214
No, not anymore. My knee injury is giving me lots of troubles lately.	[' sports no ', ' soccer no ']	[' sports no ']	0.8806890193725007	0.9999999819397033	0.9365599552637537
Sounds like a good idea. But I think I should get going now, I have an early morning.	[' ending a conversation yes ', ' early morning no ']	[' work no ']	0.4456501385515013	0.5447502575125285	0.490242186293975
Actually, I'm not much of a reader.	[' book no ']	[' books no ']	0.8583480947508343	0.8583480947508343	0.8583480947508343
I read different kinds of news, but mostly science and technology.	[' news yes ', ' science and technology yes ']	[' reading yes ', ' news yes ', ' science and technology yes ']	0.9999999909560302	0.8525538297277163	0.9204092345371989
Not really, I've been trying to avoid eating out too much.	[' restaurant no ']	[' food yes ', ' restaurant no ']	0.9999999839339471	0.7226356965128806	0.8389884095696144
Yeah, thanks. Bye.	[' farewell unknown ']	[' goodbye yes ']	0.5167233467541901	0.5167233467541901	0.5167233467541901
I'm a software engineer.	[' career unknown ', ' job title unknown ', ' software engineer unknown ']	[' work yes ', ' profession yes ', ' software engineer yes ']	0.48447326165116716	0.48447326165116716	0.48447326165116716
I'm a big basketball fan. How about you?	[' sport yes ', ' favorite sport unknown ']	[' sports yes ', ' favorite team yes ']	0.7331165887031429	0.7331165887031429	0.7331165887031429
I agree. That's why I usually don't exercise.	[' health yes ', ' exercise no ']	[' exercise no ']	0.6805990356461498	0.9999999824526764	0.8099481391740718
Yes, I actually just finished a really great novel.	[' entertainment yes ', ' books yes ']	[' books yes ', ' finished novel yes ']	0.7616904923551755	0.7811394121699378	0.7712923656829047
Yeah, it's been nice. See you later.	[' goodbye yes ']	[' farewell yes ']	0.8481609994519425	0.8481609994519425	0.8481609994519425
No, not really. I don't go to concerts much.	[' music yes ', ' concerts no ']	[' music no ', ' concerts no ']	0.8779124945040164	0.8779124945040164	0.8779124945040164
That sounds like fun. What kind of dog do you have?	[' weekend plans yes ', ' dog yes ']	[' pets yes ', ' dog yes ']	0.7014308447044616	0.8902599683745059	0.7846446011905407
Same to you. Talk to you later!	[' farewell yes ']	[' goodbye yes ']	0.8481609994519425	0.8481609994519425	0.8481609994519425
Hey there, I'm doing okay.	[' greetings yes ']	[' greeting yes ']	0.8192061054623855	0.8192061054623855	0.8192061054623856
No, and I don't think I want to. I can't handle spicy food.	[' food no ']	[' food yes ', ' spicy food no ']	0.8013423805262475	0.7849485000576824	0.7930607271664888
I don't really like Tom Hanks movies. They're usually too predictable.	[' movie yes ', ' Tom Hanks movies no ']	[' movie yes ', ' movie actor no ']	0.7908582964776381	0.872415841602032	0.829637508950962
I like playing video games, hanging out with my friends, and going to concerts.	[' video games yes ']	[' video games yes ']	0.999999982349641	0.999999982349641	0.999999982349641
I don't really like sushi all that much.	[' food yes ', ' sushi no ']	[' food yes ', ' sushi no ']	0.9999999933869631	0.9999999933869631	0.9999999933869631
Yes, I went to Italy a few years ago. It was amazing.	[' travel yes ', ' foreign country yes ', ' Italy yes ']	[' travel yes ', ' country yes ', ' Italy yes ']	0.9496188614011755	0.9496188614011755	0.9496188614011755
Oh, I haven't seen that one in ages. Do you like action movies too?	[' movie yes ', ' action yes ']	[' movie yes ', ' movie genre yes ']	0.789108710922708	0.9307441457238324	0.8540943606804549
Not really. It's going to be a boring one.	[' weekend yes ', ' boring no ']	[' work no ']	0.4368012483855816	0.5880819489891512	0.5012764969305371
Yeah, I like Coldplay. They have some good songs.	[' music yes ', ' band yes ', ' Coldplay yes ']	[' music yes ', ' band yes ', ' Coldplay yes ']	0.9999999871848209	0.9999999871848209	0.9999999871848209
Well, I like reading and listening to podcasts.	[' hobbies yes ', ' podcasts yes ']	[' hobbies yes ', ' reading yes ']	0.7512681496095588	0.7527853700765412	0.752025994591709
We just hung out on the beach mostly. Nothing too exciting.	[' travel yes ', ' beach no ']	[' travel yes ', ' beach yes ']	0.9012610633618723	0.9012610633618723	0.9012610633618723
Well, it depends on what you like. Do you prefer fiction, non-fiction, or something else?	[' books yes ', ' genre yes ']	[' books yes ', ' book genre yes ']	0.9403838345018544	0.9403838345018544	0.9403838345018544
I'm a big fan of chicken tikka masala. What about you?	[' food yes ', ' Indian dish yes ', ' chicken tikka masala yes ']	[' food yes ', ' favorite dish yes ', ' chicken tikka masala yes ']	0.8995576306144889	0.8995576306144889	0.8995576306144889
Never heard of them, sorry.	[' music no ']	[' music no ']	0.9999999965634914	0.9999999965634914	0.9999999965634914
I make a mean lasagna.	[' food yes ']	[' cooking yes ', ' dish yes ', ' lasagna yes ']	0.6904006713141664	0.6292095389094149	0.658386369997449
Nope, not interested in surfing, to be honest.	[' adventure no ']	[' surfing no ']	0.513252780815481	0.513252780815481	0.513252780815481
Not great, actually. I've been swamped with work.	[' work no ']	[' work no ']	0.9999999899962602	0.9999999899962602	0.9999999899962602
Not really, I'm not a big movie person.	[' movie no ']	[' movie no ']	0.9999999796277829	0.9999999796277829	0.9999999796277829
Nothing really, I haven't had much time to watch anything lately.	[' Netflix no ', ' watched recently no ']	[' entertainment no ']	0.456882946520211	0.5157106193996358	0.4845176764463328
Ah, that's too bad. Hey, did you hear about the new iPhone that's coming out soon?	[' technology no ', ' iPhone no ']	[' technology unknown ', ' iPhone unknown ']	0.6658477706501016	0.6658477706501016	0.6658477706501016
No, I missed it. I'm not much of a football fan.	[' sports no ']	[' sports yes ', ' football no ']	0.7761591071690479	0.7708846849785636	0.7735129048837746
If you're into sci-fi, I recently watched this show on Amazon called The Expanse. It's pretty good, but it has a bit of a slow start.	[' TV yes ', ' sci-fi yes ', ' The Expanse yes ']	[' TV shows yes ', ' The Expanse yes ']	0.8352903313884461	0.9537294036720942	0.890589336759005
I'm more of a basketball person.	[' sports yes ', ' favorite sport yes ', ' basketball yes ']	[' sports yes ', ' basketball yes ']	0.9170699193124466	0.9999999985159773	0.9567412324640847
Yeah, I do. Especially ones that focus on the environment or animals.	[' movie no ']	[' documentaries yes ', ' environment yes ']	0.4810527704801646	0.38646176602857774	0.42860031828603484
Nope, not really my thing.	[' music yes ', ' rap no ']	[' TV yes ', ' crime shows no ']	0.5445810173062697	0.5445810173062697	0.5445810173062697
No, I haven't really had the time. To be honest, cooking isn't really my thing either. I'm more of a takeout person.	[' recipes no ']	[' food no ']	0.5614144383934098	0.5614144383934098	0.5614144383934098
Yeah, I just listened to a podcast about the Zodiac Killer. Have you ever heard of him?	[' podcasts yes ', ' true crime yes ', ' Zodiac Killer yes ']	[' podcasts yes ', ' true crime yes ']	0.813092625642922	0.9999999857533568	0.8969123904078034
Pretty good. I went for a hike.	[' recreation yes ']	[' weekend yes ', ' hiking yes ']	0.592005613341428	0.5532342736797885	0.571963654467503
Not really. It was just another day.	[' Work no ']	[' work no ']	0.9999999899962602	0.9999999899962602	0.9999999899962602
Not really, fortunately.	[' weekend yes ', ' wild animals no ']	[' COVID yes ']	0.4736894316987154	0.7031915013463724	0.5660630116358056
Honestly, I try not to pay attention to the news these days. It's all so negative.	[' news no ', ' negative news no ']	[' news no ']	0.9208118817704223	0.9999999912586689	0.9587736171884385
Yes, I have a younger brother who's in college right now.	[' family yes ', ' siblings yes ', ' brother yes ']	[' family yes ', ' brother yes ']	0.9311144062424496	0.9999999950398195	0.964328577328914
Not really.	[' TV show no ']	[' books no ']	0.4607798728213057	0.4607798728213057	0.4607798728213057
Ugh, not that again. I'm so sick of hearing about it.	[' news no ', ' climate change no ']	[' politics no ']	0.5586738151343515	0.563462841498679	0.5610581090738844
Yeah, it's been a weird year for movies. Hopefully, things will get better soon. Anyway, I gotta run now. It was good chatting with you!	[' farewell yes ']	[' goodbye yes ']	0.8481609994519425	0.8481609994519425	0.8481609994519425
Yes, I have a cat, and it's the best thing ever!	[' pets yes ', ' cat yes ']	[' pets yes ', ' cats yes ']	0.9438546679014659	0.9438546679014659	0.9438546679014659
Not really. I find it too tiring.	[' outdoors yes ', ' hiking no ']	[' travel no ']	0.41101221536687677	0.5393447913211121	0.4665137331917517
Not really, I don't have much time to read these days.	[' book no ']	[' books no ']	0.8583480947508343	0.8583480947508343	0.8583480947508343
Yeah, I have a dog. He's a golden retriever and he's the best thing that's ever happened to me. What's your favorite kind of food?	[' food yes ']	[' food yes ', ' favorite food yes ']	0.9999999955522965	0.913227831748334	0.9546461897065742
I usually just bring leftovers from home. It's healthier and cheaper that way.	[' food yes ', ' lunch unknown ']	[' food yes ', ' catered food no ']	0.7039031782094893	0.8355208203573009	0.7640854780193778
Sorry, not really into basketball players. I just like watching the game.	[' sports yes ', ' favorite basketball player no ']	[' sports yes ', ' basketball player no ']	0.9490575859209609	0.9490575859209609	0.9490575859209609
Actually, I'm not really into comedies. They just don't do it for me.	[' movie yes ', ' movie genre no ']	[' movie yes ', ' comedy no ']	0.8647003402852346	0.8266914227440691	0.845268813745898
No, I'm not really into sports.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
Not really. I tend to just spend my free time watching movies or reading.	[' hobby no ']	[' hobbies no ']	0.8037982415639685	0.8037982415639685	0.8037982415639685
You too!	[' farewell yes ']	[' farewell yes ']	0.9999999944726996	0.9999999944726996	0.9999999944726996
No, I haven't had the chance to travel much lately.	[' travel no ']	[' travel no ']	0.9999999872250708	0.9999999872250708	0.9999999872250708
No, I'm not much into sports.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
Not really, sorry.	[' fitness yes ', ' health and fitness tips no ']	[' pets no ']	0.3384586603336094	0.440590052809705	0.3828297679322511
That sounds interesting. I have never been camping before.	[' weekend yes ', ' camping unknown ']	[' travel yes ', ' camping unknown ']	0.7871244692113818	0.7871244692113818	0.7871244692113818
