targets	response	precision	recall	f1
Books aren't really my thing, to be honest.	[' books no ']	[' books no ']	0.9999999905938901	0.9999999905938901	0.9999999905938901
No, I haven't. Is it any good?	[' food yes ', ' new Italian place yes ']	[' food yes ', ' restaurant yes ']	0.7480368165938004	0.8297103321332271	0.7867596224714279
Yeah, I love exploring new places!	[' travel yes ']	[' travel yes ']	0.9999999753587387	0.9999999753587387	0.9999999753587387
Not really, I don't play too many video games.	[' video games no ']	[' video games no ']	0.9999999811168708	0.9999999811168708	0.9999999811168708
Mostly science fiction and fantasy.	[' book no ', ' science fiction no ']	[' books yes ', ' genre yes ', ' science fiction yes ']	0.7522496039636026	0.6454301294576731	0.6947579587238231
Actually, no. I haven't traveled anywhere in a while. Sorry.	[' travel no ']	[' travel no ']	0.9999999872250708	0.9999999872250708	0.9999999872250708
Nope, not really into that either.	[' dance no ', ' ballet no ']	[' TV shows no ']	0.4240866724766268	0.4495763389850813	0.43645966722436563
Well, I've been to a few different trails, but my favorite is probably Mount Rainier.	[' outdoor activities yes ', ' hiking spots yes ', ' Mount Rainier yes ']	[' outdoor activities yes ', ' hiking spots yes ', ' Mount Rainier yes ']	0.9999999941885699	0.9999999941885699	0.9999999941885699
Yes, I have. I really enjoyed them!	[' food yes ', ' Korean tacos yes ']	[' TV shows yes ', ' recommendation yes ']	0.4647391166620137	0.4528205110199899	0.4587024057052445
Not really, I've been sticking to cooking at home.	[' food no ', ' restaurants no ']	[' food no ', ' restaurant no ']	0.9319734094420982	0.9319734094420982	0.9319734094420982
Not really. I used to be into basketball but not so much anymore.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
Sorry, but I'd rather not share it.	[' music yes ', ' band name no ']	[' music no ']	0.690927569606693	0.755824990135444	0.7219207181846816
No, I haven't.	[' food yes ', ' restaurant unknown ']	[' TV show no ']	0.24660354904598314	0.3144169675195141	0.27641178096393443
Not really, I find them quite boring.	[' sports no ']	[' books no ']	0.5447183412221704	0.5447183412221704	0.5447183412221704
Mostly first-person shooters like Call of Duty.	[' video games yes ', ' game genre yes ', ' Call of Duty yes ']	[' video games yes ', ' video game genre yes ', ' Call of Duty yes ']	0.975234801862206	0.975234801862206	0.975234801862206
Actually, I'm not really into reading.	[' books no ']	[' books no ']	0.9999999905938901	0.9999999905938901	0.9999999905938901
I don't really have one particular favorite, but I like action movies in general.	[' movies yes ', ' action movies yes ']	[' movie yes ', ' movie genre yes ']	0.8495413462465211	0.8470128723473569	0.8482752251307306
It's pretty cloudy and looks like it's gonna rain.	[' weather no ']	[' weather no ']	0.9999999863457758	0.9999999863457758	0.9999999863457758
You too.	[' greeting yes ']	[' goodbye yes ']	0.6572352132998155	0.6572352132998155	0.6572352132998155
Not really, not in the mood for that kind of food.	[' food no ', ' cuisine no ', ' Mexican no ']	[' food no ', ' cuisine no ']	0.8266840100940703	0.9999999822854444	0.9051198772184537
Hmm, I've never heard of that.	[' books no ', ' The Picture of Dorian Gray no ']	[' TV show yes ', ' TV series unknown ']	0.3048706312870767	0.3048706312870767	0.3048706312870767
Actually, yes! I just finished a really interesting biography about Abraham Lincoln.	[' books yes ', ' biography yes ', ' Abraham Lincoln yes ']	[' books yes ', ' biography yes ', ' Abraham Lincoln yes ']	0.9999999870709297	0.9999999870709297	0.9999999870709297
Not really, I find it quite boring.	[' books no ']	[' books no ']	0.9999999905938901	0.9999999905938901	0.9999999905938901
That's cool. Honestly, I'm not really into rock music.	[' music no ', ' rock no ']	[' music no ', ' rock no ']	0.9999999918932114	0.9999999918932114	0.9999999918932114
Hmm, I haven't. What's it about?	[' movies yes ', ' Parasite yes ']	[' movie unknown ']	0.3473054262691073	0.4989682190392969	0.40954689058059307
Actually, I'm not a big reader.	[' books no ']	[' books no ']	0.9999999905938901	0.9999999905938901	0.9999999905938901
I like trying new things, but not certain types of food like sushi or spicy food.	[' food yes ', ' sushi no ']	[' food no ', ' sushi no ']	0.8842773054053735	0.8842773054053735	0.8842773054053735
Not really.	[' movie no ']	[' TV show no ']	0.5917623363106721	0.5917623363106721	0.5917623363106721
No, not really.	[' recipe unknown ']	[' TV shows no ']	0.11836558328971392	0.11836558328971392	0.11836558328971392
It was amazing. The atmosphere was just electric.	[' music festival yes ', ' experience yes ']	[' music festival yes ']	0.6848312381693124	0.9999999962065542	0.8129374878607742
Nah, we just hung out at the park all day.	[' outing yes', 'shopping no ']	[' weekend yes ', ' park yes ']	0.4882146559936407	0.5595364635468356	0.5214480747798685
Yeah, I'm really into cooking. I could talk about food all day!	[' food yes ', ' cooking yes ']	[' food yes ']	0.8452003334332314	0.9999999955522965	0.9161068491015426
No, not really interested in sports.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
I'm not really into pets myself.	[' pets no ']	[' pets no ']	0.999999977518144	0.999999977518144	0.999999977518144
No, I haven't. Is it as good as Breaking Bad?	[' TV show yes ', ' Better Call Saul unknown ']	[' TV show yes ', ' TV show quality no ']	0.6766017379371059	0.8961745435741778	0.7710610349421537
No, I'm allergic to cats and dogs.	[' pets no ']	[' pets no ']	0.999999977518144	0.999999977518144	0.999999977518144
Probably Skyrim.	[' video games yes ', ' favorite video game yes ', ' Skyrim yes ']	[' video games yes ', ' favorite game yes ', ' Skyrim yes ']	0.9713381828435107	0.9713381828435107	0.9713381828435107
Yeah, I love watching crime series. How about you?	[' movies and shows yes ', ' crime series yes ']	[' TV yes ', ' crime series yes ']	0.8120387650686907	0.8120387650686907	0.8120387650686907
I'm not a great dancer, so I usually avoid it if I can.	[' dancing no ']	[' dance no ']	0.9038821619150185	0.9038821619150185	0.9038821619150185
I'm not a big sports fan.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
I recommend the margherita pizza, it's also pretty good.	[' food yes ', ' pizza yes ', ' margherita pizza yes ']	[' food yes ', ' pizza yes ', ' margherita pizza yes ']	0.9999999915733833	0.9999999915733833	0.9999999915733833
I enjoy a lot of different kinds of music. Lately, I've been listening to a lot of indie rock.	[' music yes ', ' favorite genre yes ', ' indie rock yes ']	[' music yes ', ' music genre yes ', ' indie rock yes ']	0.936962249006239	0.9530023299448453	0.9449142235976462
No, I haven't. I'm not really a fan of that kind of food.	[' food no ']	[' food no ', ' Japanese food no ']	0.9999999776546105	0.8660204919099623	0.928200399388415
Yeah, it's definitely worth it in the long run.	[' finance unknown ', ' saving money yes ']	[' finance yes ', ' taxes no ']	0.5595915561184159	0.5109944450070323	0.5341900162130832
No, I haven't. I'm not really into that kind of thing. It seems too scary for me.	[' haunted houses no ']	[' movie no ', ' horror no ']	0.5806537967938905	0.5419555674821976	0.5606376856744852
Not really. Movies aren't really my thing.	[' movie no ']	[' movie no ']	0.9999999796277829	0.9999999796277829	0.9999999796277829
Not really. I don't watch that much TV.	[' TV shows no ']	[' TV shows no ']	0.9999999937532956	0.9999999937532956	0.9999999937532956
Jazz is not my thing, sorry.	[' music yes ', ' jazz no ']	[' music yes ', ' jazz no ']	0.9999999894894627	0.9999999894894627	0.9999999894894627
Sadly, no. I need to catch up on housework which is incredibly boring.	[' weekend plans no ', ' housework no ']	[' weekend no ', ' housework no ']	0.9236126775232123	0.9236126775232123	0.9236126775232123
No, I haven't. I'm not really interested in traveling to Europe.	[' travel yes ', ' Europe no ']	[' travel no ', ' Europe no ']	0.882560844034524	0.882560844034524	0.882560844034524
Honestly, I don't really care much about music.	[' music yes ']	[' music no ']	0.755824990135444	0.755824990135444	0.755824990135444
No, I haven't.	[' sleep yes ', ' remedy unknown ']	[' TV show no ']	0.26105245873944727	0.3663127269800093	0.30485223031947273
I'm actually not that into music. I don't listen to it very often.	[' music no ']	[' music no ']	0.9999999965634914	0.9999999965634914	0.9999999965634914
No, I don't really follow sports.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
No, I've been pretty lazy the past few weeks.	[' gym no ']	[' health no ']	0.5272568243640925	0.5272568243640925	0.5272568243640925
Yeah, I love animals. They're the best.	[' animals yes ']	[' animals yes ']	0.9999999859668836	0.9999999859668836	0.9999999859668836
I work in an office doing customer service. It's not very exciting.	[' work yes ', ' type of work no ']	[' work no ', ' job satisfaction no ']	0.7764570945923875	0.7277173703657256	0.7512975765006333
Yes, I did. The Eiffel Tower is amazing.	[' travel yes ', ' France trip yes ', ' visit to Paris yes ']	[' travel yes ', ' tourist attraction yes ', ' Eiffel Tower yes ']	0.7118803887968204	0.6018238486479666	0.6522420848638228
Honestly, I just like to relax at home and watch TV or something. I'm pretty boring, I guess.	[' entertainment yes ', ' TV yes ']	[' hobbies no ']	0.31907928926121004	0.3324720560418649	0.3256380271663934
Yeah, I love sports! What's your favorite sport?	[' sports yes ', ' favorite sport unknown ']	[' sports yes ', ' favorite sport unknown ']	0.9999999925568097	0.9999999925568097	0.9999999925568097
Oh, I see. Well, thanks for sharing your opinion. Anyway, I have to go now. See you later!	[' farewell yes ']	[' goodbye yes ']	0.8481609994519425	0.8481609994519425	0.8481609994519425
Eh, I'm not a fan.	[' food no ', ' tacos no ']	[' TV show no ', ' TV character no ']	0.42981870774632563	0.4268009774368154	0.42830452710771083
Not really. Books are kind of boring to me.	[' books no ']	[' books no ']	0.9999999905938901	0.9999999905938901	0.9999999905938901
Sounds good, take care.	[' goodbye yes ']	[' goodbye yes ']	0.9999999948937661	0.9999999948937661	0.9999999948937661
It’s been a tough day at work.	[' work unknown ']	[' work no ']	0.5341303768400627	0.5341303768400627	0.5341303768400627
I don't really have one. I listen to whatever's on the radio.	[' music no ']	[' music no ']	0.9999999965634914	0.9999999965634914	0.9999999965634914
Ugh, don't even get me started on that. It's all just a bunch of lies and corruption.	[' politics no ']	[' politics no ', ' corruption no ']	0.9999999938242636	0.8252832496882099	0.9042796481310472
Not really. Just going to visit my family.	[' holidays yes ', ' family yes ']	[' family yes ']	0.7841161637328506	0.9999999952883731	0.8789967582251578
Uh, sorry to cut this short, but I have to go now. It was nice talking to you!	[' boring topic no ']	[' goodbye yes ']	0.34190397868595335	0.34190397868595335	0.34190397868595335
I'm going to visit my grandparents.	[' family yes ', ' family visit yes ', ' grandparents yes ']	[' family yes ', ' family visit yes ', ' grandparents yes ']	0.9999999958422879	0.9999999958422879	0.9999999958422879
Not really, I just focus on the present right now.	[' travel no ']	[' travel no ']	0.9999999872250708	0.9999999872250708	0.9999999872250708
Yes, I really like the latest song by Ariana Grande.	[' music yes ', ' song recommendation yes ', ' Ariana Grande song yes ']	[' music yes ', ' song recommendation yes ', ' Ariana Grande song yes ']	0.999999983092947	0.999999983092947	0.999999983092947
Not really, I've just been at work a lot.	[' travel no ']	[' work no ']	0.6479688746373692	0.6479688746373692	0.6479688746373692
(sighs) Not really.	[' golf no ']	[' TV shows no ']	0.41324672060623757	0.41324672060623757	0.41324672060623757
Yeah, I guess that works too. Do you like sports?	[' sports unknown ']	[' sports yes ']	0.5893911314490978	0.5893911314490978	0.5893911314490978
Oh, really? I don't particularly like ginger.	[' cooking yes ', ' ingredient no ']	[' food yes ', ' ingredient no ', ' ginger no ']	0.8452003271743123	0.759874043128636	0.8002691984202208
Definitely. I just started watching the show Stranger Things, it's really good.	[' entertainment yes ', ' TV shows yes ', ' Stranger Things yes ']	[' TV shows yes ', ' Stranger Things yes ']	0.8587155690752996	0.9999999872562024	0.9239881327800651
Actually, I've been reading a lot of thrillers lately.	[' literature yes ', ' thrillers yes ']	[' books yes ', ' thrillers yes ']	0.8751806994887918	0.8751806994887918	0.8751806994887918
No, I don't have any pets.	[' pets no ']	[' pets no ']	0.999999977518144	0.999999977518144	0.999999977518144
Honestly, I loved everything about it. The writing, the acting, the cinematography...it was all amazing. But I think my favorite episode was the one where they steal the train.	[' TV shows yes ', ' favorite part yes ', ' train heist episode yes ']	[' TV shows yes ', ' favorite part yes ', ' train heist episode yes ']	0.9999999872480307	0.9999999872480307	0.9999999872480307
Hmm, never really got into those older movies.	[' movie yes ', ' The Godfather no ']	[' movie no ', ' classic movies no ']	0.6507569547440633	0.7099104729471042	0.679047896810287
Not really, I think I prefer just staying at home and relaxing. Thanks for the suggestion though.	[' weekend no ', ' hiking no ']	[' weekend no ']	0.7475075633043106	0.9999999968275949	0.8555128206443814
Yes, I have it on my watchlist but did not get the chance to watch it yet.	[' movie yes ', ' TV series yes ', ' Stranger Things yes ']	[' movie yes ', ' movie title no ']	0.7201759505355003	0.8286505754905982	0.7706146632146136
To be honest, I've been pretty busy with work, so I haven't had time to watch much of anything.	[' TV shows no ']	[' TV shows no ']	0.9999999937532956	0.9999999937532956	0.9999999937532956
Actually, I'm not really a fan of those either.	[' movie no ', ' romantic comedies no ']	[' TV shows no ', ' TV genre no ', ' romantic comedies no ']	0.836885669856783	0.7502635742325922	0.7912108281298214
No, I haven't.	[' music no ', ' concerts no ']	[' TV show no ']	0.5296480760116702	0.5501042190869598	0.5396823744999701
I like playing video games and reading.	[' video games yes ']	[' hobbies yes ', ' video games yes ']	0.999999982349641	0.70853255514418	0.8294047986673342
No, I haven't. But honestly, it doesn't sound very appealing to me.	[' outdoor activities no ', ' camping no ']	[' outdoor activities no ', ' camping no ']	0.999999983220262	0.999999983220262	0.999999983220262
Not really, I'm open to anything. But I don't like crowded places or tourist traps.	[' travel yes ', ' type of travel no ']	[' travel no ']	0.8282621657215203	0.8914026279907946	0.8586732413073103
Mostly fantasy and sci-fi.	[' reading yes ', ' genre yes ', ' fantasy yes ']	[' books yes ', ' genre yes ', ' fantasy yes ']	0.9005384423082242	0.9005384423082242	0.9005384423082242
Nah, I'm not much of a gamer.	[' video games no ']	[' video games no ']	0.9999999811168708	0.9999999811168708	0.9999999811168708
Honestly, I don't really have much time for hobbies.	[' hobbies no ']	[' hobbies no ']	0.9999999966230095	0.9999999966230095	0.9999999966230095
Yes, I really like 1984.	[' books yes ', ' book preference unknown ', ' 1984 yes ']	[' books yes ', ' favorite book yes ', ' 1984 yes ']	0.8602407461822056	0.9153350557963899	0.8869331408184052
It's alright.	[' small talk yes ']	[' weekend no ']	0.30706198987130073	0.30706198987130073	0.30706198987130073
No, not anymore. My knee injury is giving me lots of troubles lately.	[' sports no ', ' soccer no ']	[' sports no ', ' soccer no ']	0.9999999848442278	0.9999999848442278	0.9999999848442278
Sounds like a good idea. But I think I should get going now, I have an early morning.	[' ending a conversation yes ', ' early morning no ']	[' weekend yes ']	0.45760239487280846	0.4885452957910241	0.4725678655960451
Actually, I'm not much of a reader.	[' book no ']	[' books no ']	0.8583480947508343	0.8583480947508343	0.8583480947508343
I read different kinds of news, but mostly science and technology.	[' news yes ', ' science and technology yes ']	[' news yes ', ' science and technology yes ']	0.9999999909560302	0.9999999909560302	0.9999999909560302
Not really, I've been trying to avoid eating out too much.	[' restaurant no ']	[' food no ']	0.6624230850908374	0.6624230850908374	0.6624230850908374
Yeah, thanks. Bye.	[' farewell unknown ']	[' goodbye yes ']	0.5167233467541901	0.5167233467541901	0.5167233467541901
I'm a software engineer.	[' career unknown ', ' job title unknown ', ' software engineer unknown ']	[' work yes ', ' job yes ', ' software engineer yes ']	0.5182752897155627	0.5341976411755333	0.5261160246871333
I'm a big basketball fan. How about you?	[' sport yes ', ' favorite sport unknown ']	[' sports yes ', ' favorite sport yes ', ' basketball yes ']	0.8106559199765094	0.7767720417276373	0.7933523527237797
I agree. That's why I usually don't exercise.	[' health yes ', ' exercise no ']	[' health yes ', ' exercise no ']	0.9999999869899939	0.9999999869899939	0.9999999869899939
Yes, I actually just finished a really great novel.	[' entertainment yes ', ' books yes ']	[' books yes ', ' recent reads yes ']	0.7616904923551755	0.768529959413652	0.7650949410574497
Yeah, it's been nice. See you later.	[' goodbye yes ']	[' goodbye yes ']	0.9999999948937661	0.9999999948937661	0.9999999948937661
No, not really. I don't go to concerts much.	[' music yes ', ' concerts no ']	[' music no ']	0.737326254058786	0.755824990135444	0.7464610311480184
That sounds like fun. What kind of dog do you have?	[' weekend plans yes ', ' dog yes ']	[' pets yes ', ' dog yes ']	0.7014308447044616	0.8902599683745059	0.7846446011905407
Same to you. Talk to you later!	[' farewell yes ']	[' goodbye yes ']	0.8481609994519425	0.8481609994519425	0.8481609994519425
Hey there, I'm doing okay.	[' greetings yes ']	[' greeting yes ']	0.8192061054623855	0.8192061054623855	0.8192061054623856
No, and I don't think I want to. I can't handle spicy food.	[' food no ']	[' food no ', ' spicy food no ']	0.9999999776546105	0.9006711790904289	0.9477401240801792
I don't really like Tom Hanks movies. They're usually too predictable.	[' movie yes ', ' Tom Hanks movies no ']	[' movie no ', ' Tom Hanks movies no ']	0.8892957043597974	0.8892957043597974	0.8892957043597973
I like playing video games, hanging out with my friends, and going to concerts.	[' video games yes ']	[' video games yes ']	0.999999982349641	0.999999982349641	0.999999982349641
I don't really like sushi all that much.	[' food yes ', ' sushi no ']	[' food no ', ' sushi no ']	0.8842773054053735	0.8842773054053735	0.8842773054053735
Yes, I went to Italy a few years ago. It was amazing.	[' travel yes ', ' foreign country yes ', ' Italy yes ']	[' travel yes ', ' Italy yes ']	0.8279746498101046	0.999999985649171	0.9058929176224096
Oh, I haven't seen that one in ages. Do you like action movies too?	[' movie yes ', ' action yes ']	[' movie yes ', ' action yes ']	0.9999999942699447	0.9999999942699447	0.9999999942699447
Not really. It's going to be a boring one.	[' weekend yes ', ' boring no ']	[' weekend no ', ' boring no ']	0.8639870876762796	0.8639870876762796	0.8639870876762796
Yeah, I like Coldplay. They have some good songs.	[' music yes ', ' band yes ', ' Coldplay yes ']	[' music yes ', ' band yes ', ' Coldplay yes ']	0.9999999871848209	0.9999999871848209	0.9999999871848209
Well, I like reading and listening to podcasts.	[' hobbies yes ', ' podcasts yes ']	[' hobbies yes ', ' podcasts yes ']	0.999999991301884	0.999999991301884	0.999999991301884
We just hung out on the beach mostly. Nothing too exciting.	[' travel yes ', ' beach no ']	[' travel no ']	0.6411123799083422	0.7651217034522461	0.6976491354092892
Well, it depends on what you like. Do you prefer fiction, non-fiction, or something else?	[' books yes ', ' genre yes ']	[' books yes ', ' genre unknown ']	0.8417429715813336	0.8417429715813336	0.8417429715813336
I'm a big fan of chicken tikka masala. What about you?	[' food yes ', ' Indian dish yes ', ' chicken tikka masala yes ']	[' food yes ', ' Indian dish yes ', ' chicken tikka masala yes ']	0.9999999894726264	0.9999999894726264	0.9999999894726264
Never heard of them, sorry.	[' music no ']	[' music no ', ' band no ']	0.9999999965634914	0.8603251234857135	0.9249191028570787
I make a mean lasagna.	[' food yes ']	[' hobby yes ', ' favorite dish yes ', ' lasagna yes ']	0.6069123575410706	0.5208111749355092	0.560574873027063
Nope, not interested in surfing, to be honest.	[' adventure no ']	[' activity no ', ' surfing no ']	0.513252780815481	0.506434006608981	0.5098205947104921
Not great, actually. I've been swamped with work.	[' work no ']	[' work no ']	0.9999999899962602	0.9999999899962602	0.9999999899962602
Not really, I'm not a big movie person.	[' movie no ']	[' movie no ']	0.9999999796277829	0.9999999796277829	0.9999999796277829
Nothing really, I haven't had much time to watch anything lately.	[' Netflix no ', ' watched recently no ']	[' movie no ']	0.5446010757037536	0.6556939512019113	0.5950064328393996
Ah, that's too bad. Hey, did you hear about the new iPhone that's coming out soon?	[' technology no ', ' iPhone no ']	[' technology no ', ' iPhone no ']	0.999999994363095	0.999999994363095	0.999999994363095
No, I missed it. I'm not much of a football fan.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
If you're into sci-fi, I recently watched this show on Amazon called The Expanse. It's pretty good, but it has a bit of a slow start.	[' TV yes ', ' sci-fi yes ', ' The Expanse yes ']	[' TV shows yes ', ' sci-fi yes ', ' The Expanse yes ']	0.9691529316151545	0.9691529316151545	0.9691529316151545
I'm more of a basketball person.	[' sports yes ', ' favorite sport yes ', ' basketball yes ']	[' sports yes ', ' favorite sport yes ', ' basketball yes ']	0.9999999946671424	0.9999999946671424	0.9999999946671424
Yeah, I do. Especially ones that focus on the environment or animals.	[' movie no ']	[' environment yes ']	0.2918707615769909	0.2918707615769909	0.2918707615769909
Nope, not really my thing.	[' music yes ', ' rap no ']	[' movie no ']	0.4979457706782182	0.5641817985504083	0.5289984906160266
No, I haven't really had the time. To be honest, cooking isn't really my thing either. I'm more of a takeout person.	[' recipes no ']	[' cooking no ']	0.7212278435959143	0.7212278435959143	0.7212278435959142
Yeah, I just listened to a podcast about the Zodiac Killer. Have you ever heard of him?	[' podcasts yes ', ' true crime yes ', ' Zodiac Killer yes ']	[' podcasts yes ', ' true crime yes ', ' Zodiac Killer yes ']	0.9999999904094201	0.9999999904094201	0.9999999904094201
Pretty good. I went for a hike.	[' recreation yes ']	[' weekend yes ', ' hiking yes ']	0.592005613341428	0.5532342736797885	0.571963654467503
Not really. It was just another day.	[' Work no ']	[' daily life no ']	0.5566296065827602	0.5566296065827602	0.5566296065827602
Not really, fortunately.	[' weekend yes ', ' wild animals no ']	[' TV shows no ']	0.32289371899169966	0.33560767837336836	0.3291279618411199
Honestly, I try not to pay attention to the news these days. It's all so negative.	[' news no ', ' negative news no ']	[' news no ']	0.9208118817704223	0.9999999912586689	0.9587736171884385
Yes, I have a younger brother who's in college right now.	[' family yes ', ' siblings yes ', ' brother yes ']	[' family yes ', ' siblings yes ', ' college yes ']	0.9311144061043374	0.8656958161069938	0.8972142252056583
Not really.	[' TV show no ']	[' TV show no ']	0.9999999976587015	0.9999999976587015	0.9999999976587015
Ugh, not that again. I'm so sick of hearing about it.	[' news no ', ' climate change no ']	[' news no ', ' COVID-19 no ']	0.7961959194037196	0.8361399607627948	0.8156792151647273
Yeah, it's been a weird year for movies. Hopefully, things will get better soon. Anyway, I gotta run now. It was good chatting with you!	[' farewell yes ']	[' goodbye yes ']	0.8481609994519425	0.8481609994519425	0.8481609994519425
Yes, I have a cat, and it's the best thing ever!	[' pets yes ', ' cat yes ']	[' pets yes ', ' cat yes ']	0.9999999863840028	0.9999999863840028	0.9999999863840028
Not really. I find it too tiring.	[' outdoors yes ', ' hiking no ']	[' outdoor activities no ', ' hiking no ']	0.7555843251594296	0.7555843251594296	0.7555843251594295
Not really, I don't have much time to read these days.	[' book no ']	[' books no ']	0.8583480947508343	0.8583480947508343	0.8583480947508343
Yeah, I have a dog. He's a golden retriever and he's the best thing that's ever happened to me. What's your favorite kind of food?	[' food yes ']	[' food yes ']	0.9999999955522965	0.9999999955522965	0.9999999955522965
I usually just bring leftovers from home. It's healthier and cheaper that way.	[' food yes ', ' lunch unknown ']	[' food yes ', ' leftovers yes ']	0.6651793185567172	0.8226595731970661	0.735585199898029
Sorry, not really into basketball players. I just like watching the game.	[' sports yes ', ' favorite basketball player no ']	[' sports no ', ' basketball player no ']	0.8318627178606144	0.8318627178606144	0.8318627178606144
Actually, I'm not really into comedies. They just don't do it for me.	[' movie yes ', ' movie genre no ']	[' movie no ', ' comedy no ']	0.8120415741116063	0.7494372940507084	0.7794844392292077
No, I'm not really into sports.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
Not really. I tend to just spend my free time watching movies or reading.	[' hobby no ']	[' hobbies no ']	0.8037982415639685	0.8037982415639685	0.8037982415639685
You too!	[' farewell yes ']	[' goodbye yes ']	0.8481609994519425	0.8481609994519425	0.8481609994519425
No, I haven't had the chance to travel much lately.	[' travel no ']	[' travel no ']	0.9999999872250708	0.9999999872250708	0.9999999872250708
No, I'm not much into sports.	[' sports no ']	[' sports no ']	0.9999999819397033	0.9999999819397033	0.9999999819397033
Not really, sorry.	[' fitness yes ', ' health and fitness tips no ']	[' TV shows no ']	0.2905063437172221	0.3224256366467403	0.30563486919811983
That sounds interesting. I have never been camping before.	[' weekend yes ', ' camping unknown ']	[' outdoor activities yes ', ' camping no ']	0.5746056246800937	0.5746056246800937	0.5746056246800937
No, I'm not really a fan of sushi.	[' food no ', ' sushi no ']	[' food no ', ' sushi no ']	0.9999999844381201	0.9999999844381201	0.9999999844381201
Honestly, I'm not that into movies.	[' movie yes   no ']	[' movie no ']	0.9120996215384193	0.9120996215384193	0.9120996215384193
I like to cook and try out new recipes.	[' food yes ']	[' cooking yes ']	0.6904006713141664	0.6904006713141664	0.6904006713141664
I'm not really into music, but I do like jazz.	[' music unknown ', ' genre yes ', ' jazz yes ']	[' music yes ', ' music genre yes ', ' jazz yes ']	0.8299469919214225	0.9033551808586728	0.8650966078093154
