targets	response	precision	recall	f1
art appreciation,creative expression,art galleries,art history,local artists,art workshops,cultural events	['art appreciation', 'creative expression', 'art galleries', 'art history', 'local artists', 'art workshops', 'cultural events']	['art appreciation', 'creative expression', 'art galleries']	0.7453213919689182	0.999999984968395	0.8540792436444341
volunteer programs,cross-cultural experiences	['volunteer programs', 'cross-cultural experiences']	['volunteer programs', 'cultural awareness', 'volunteer opportunities']	0.6631164275914057	0.6732470057443937	0.6681433182011527
birdwatching,pet ownership	['birdwatching', 'pet ownership']	['bird care', 'pet care', 'wildlife conservation']	0.5805443210578144	0.5415945473004727	0.5603934550652717
VR experiences,digital detox,tech impact	['VR experiences', 'digital detox', 'tech impact']	['virtual reality', 'tech issues', 'virtual reality experiences']	0.5122905174803307	0.5308043019039074	0.5213831100487343
science fiction,diversity in cinema,sci-fi literature,extraterrestrial life	['science fiction', 'diversity in cinema', 'sci-fi literature', 'extraterrestrial life']	['sci-fi genres', 'diversity in cinema', 'sci-fi literature']	0.6928768788876773	0.7931596634320514	0.7396345599961152
indoor plants,gardening tools	['indoor plants', 'gardening tools']	['succulent care', 'gardening challenges', 'succulent identification']	0.5357644210923618	0.4227901510343662	0.4726197695972856
yoga practices,yoga styles,meditative yoga,mind-body connection,yoga retreats,yoga philosophy,yoga wellness	['yoga practices', 'yoga styles', 'meditative yoga', 'mind-body connection', 'yoga retreats', 'yoga philosophy', 'yoga wellness']	['yoga practices', 'yoga styles', 'meditative yoga']	0.7633591873618208	0.9999999933172464	0.8658011261965483
contemporary artists,art investments	['contemporary artists', 'art investments']	['modern art', 'art trends', 'art controversies']	0.5996604330541373	0.5677523177371958	0.5832703137617717
hiking trails,camping tips,national parks	['hiking trails', 'camping tips', 'national parks']	['outdoor photography', 'wilderness exploration', 'outdoor festivals']	0.3819722654499948	0.3819722654499948	0.3819722654499948
music charts,artist compensation	['music charts', 'artist compensation']	['pop artists', 'music streaming', 'music industry']	0.5457069082162029	0.5753996815636844	0.5601600848253957
bike trails,recovery strategies	['bike trails', 'recovery strategies']	['cycling techniques', 'recovery methods', 'cycling events']	0.6398542140639278	0.5730523662279411	0.6046137062295752
war documentaries,history lessons	['war documentaries', 'history lessons']	['war history', 'history lessons', 'war heroes']	0.8301209595715426	0.7606678704402249	0.7938782704683818
book clubs,book reviews,book adaptations	['book clubs', 'book reviews', 'book adaptations']	['literary classics', 'book recommendations', 'book clubs']	0.7463125560259224	0.7421940918769999	0.7442476263796801
basketball players,sports news	['basketball players', 'sports news']	['basketball', 'sportsmanship', 'basketball camps']	0.6375219901949118	0.6683137923662931	0.6525548536407924
photography techniques,camera gear,nature exploration,photography contests,photo editing,wildlife photography,photography workshops	['photography techniques', 'camera gear', 'nature exploration', 'photography contests', 'photo editing', 'wildlife photography', 'photography workshops']	['outdoor photography', 'photography techniques', 'wildlife observation']	0.6254140461714878	0.8069523819369744	0.7046791161133071
cat care,animal welfare	['cat care', 'animal welfare']	['cat care', 'animal welfare', 'cat adoption']	0.9999999865317724	0.8965094826081735	0.9454310512252181
home cooking,healthy recipes,chef techniques,culinary classes,food culture,gourmet dining,food festivals	['home cooking', 'healthy recipes', 'chef techniques', 'culinary classes', 'food culture', 'gourmet dining', 'food festivals']	['cooking techniques', 'foodie gatherings', 'culinary adventures']	0.5875176357224443	0.6737352079690112	0.6276795623792564
vintage finds,thrifting tips,second-hand fashion,retro style,sustainable fashion,vintage boutiques,unique fashion pieces	['vintage finds', 'thrifting tips', 'second-hand fashion', 'retro style', 'sustainable fashion', 'vintage boutiques', 'unique fashion pieces']	['vintage finds', 'thrifting tips', 'second-hand fashion']	0.7745451480341515	0.9999999955836102	0.872950623317922
music history,music genres,studio production	['music history', 'music genres', 'studio production']	['classical composers', 'music technology', 'music literacy']	0.5393152991558509	0.6382011869865183	0.5846061063804728
brain studies,neuroethics	['brain studies', 'neuroethics']	['neuroscientific discoveries', 'ethics of brain research', 'neuroethics of research']	0.765550259907025	0.6713763459552764	0.7153772976916314
crossfit workouts,recovery methods,crossfit competitions,functional training	['crossfit workouts', 'recovery methods', 'crossfit competitions', 'functional training']	['crossfit workouts', 'recovery methods', 'crossfit competitions']	0.859819208804028	0.9999999900988259	0.9246266527391841
road trip destinations,travel safety,road trip planning,scenic routes,travel companions,RV trips,travel mishaps	['road trip destinations', 'travel safety', 'road trip planning', 'scenic routes', 'travel companions', 'RV trips', 'travel mishaps']	['road trip destinations', 'travel safety', 'travel companions']	0.8019878582955783	0.9999999846242366	0.8901146021772464
cat care,animal welfare	['cat care', 'animal welfare']	['cat care', 'animal welfare', 'cat adoption']	0.9999999865317724	0.8965094826081735	0.9454310512252181
volunteer programs,cross-cultural experiences,volunteer impact,cultural awareness	['volunteer programs', 'cross-cultural experiences', 'volunteer impact', 'cultural awareness']	['volunteer programs', 'cultural awareness', 'volunteer opportunities']	0.7396059495316221	0.8994120649618624	0.8117183684913788
